"team","teamId","playedGames","goalDifference","points","rank"
"Leicester City FC",338,46,48,97,1
"Ipswich Town FC",349,46,35,96,2
"Leeds United FC",341,46,38,90,3
"Southampton FC",340,46,24,87,4
"West Bromwich Albion FC",74,46,23,75,5
"Norwich City FC",68,46,15,73,6
"Hull City AFC",322,46,8,70,7
"Middlesbrough FC",343,46,9,69,8
"Coventry City FC",1076,46,11,64,9
"Preston North End FC",1081,46,-11,63,10
"Bristol City FC",387,46,2,62,11
"Cardiff City FC",715,46,-17,62,12
"Millwall FC",384,46,-10,59,13
"Swansea City AFC",72,46,-6,57,14
"Watford FC",346,46,0,56,15
"Sunderland AFC",71,46,-2,56,16
"Stoke City FC",70,46,-11,56,17
"Queens Park Rangers FC",69,46,-11,56,18
"Blackburn Rovers FC",59,46,-14,53,19
"Sheffield Wednesday FC",345,46,-24,53,20
"Plymouth Argyle FC",1138,46,-11,51,21
"Birmingham City FC",332,46,-15,50,22
"Huddersfield Town AFC",394,46,-29,45,23
"Rotherham United FC",385,46,-52,27,24
