"","HA","vs","played","sched","cumulative"
"1","H","Ajx","yes","0.49","0.49"
"2","A","WII","yes","0.48","0.97"
"3","H","Zwo","yes","-0.39","0.59"
"4","A","Her","yes","0.14","0.72"
"5","H","AZA","yes","0.39","1.12"
"6","A","PSV","yes","0.44","1.56"
"7","H","Sit","yes","-0.38","1.18"
"8","A","RKC","yes","-0.44","0.74"
"9","H","Utr","yes","-0.05","0.69"
"10","A","VVV","yes","-0.13","0.56"
"11","H","ADO","yes","-0.51","0.06"
"12","A","Emm","yes","-0.03","0.02"
"13","H","Gro","yes","-0.14","-0.12"
"14","A","Spa","yes","0.06","-0.06"
"15","A","Hee","yes","0.13","0.07"
"16","H","Fey","yes","0.15","0.22"
"17","A","Twe","yes","-0.01","0.21"
"18","H","VVV","yes","-0.43","-0.23"
"19","A","Sit","yes","-0.05","-0.28"
"20","H","Emm","yes","-0.37","-0.64"
"21","A","ADO","yes","-0.23","-0.87"
"22","A","Gro","yes","0.23","-0.64"
"23","H","Hee","no","-0.24","-0.87"
"24","H","PSV","no","0.08","-0.79"
"25","A","Zwo","no","-0.06","-0.85"
"26","H","Twe","no","-0.35","-1.20"
"27","A","Utr","no","0.32","-0.88"
"28","H","WII","no","0.12","-0.76"
"29","A","AZA","no","0.68","-0.08"
"30","H","RKC","no","-0.64","-0.72"
"31","A","Ajx","no","0.74","0.02"
"32","H","Spa","no","-0.29","-0.28"
"33","H","Her","no","-0.23","-0.50"
"34","A","Fey","no","0.50","0.00"
