"","HA","vs","played","sched","cumulative"
"1","A","Vit","yes","0.12","0.12"
"2","H","Emm","yes","-0.13","-0.01"
"3","A","VVV","yes","-0.02","-0.03"
"4","A","Spa","yes","0.02","-0.01"
"5","H","Hee","yes","-0.12","-0.13"
"6","A","PSV","yes","0.31","0.18"
"7","H","Sit","yes","-0.17","0.01"
"8","H","Gro","yes","-0.09","-0.08"
"9","A","ADO","yes","-0.12","-0.20"
"10","A","RKC","yes","-0.19","-0.39"
"11","H","Fey","yes","0.09","-0.30"
"12","A","Zwo","yes","-0.03","-0.33"
"13","H","Utr","yes","-0.03","-0.36"
"14","H","Her","yes","-0.11","-0.47"
"15","A","Twe","yes","-0.03","-0.49"
"16","H","WII","yes","0.01","-0.48"
"17","A","AZA","yes","0.43","-0.05"
"18","H","ADO","yes","-0.21","-0.26"
"19","H","Spa","yes","-0.13","-0.39"
"20","A","Gro","yes","0.10","-0.30"
"21","H","PSV","yes","0.05","-0.24"
"22","A","Utr","no","0.19","-0.05"
"23","H","RKC","yes","-0.25","-0.29"
"24","A","Her","yes","0.06","-0.23"
"25","H","AZA","no","0.16","-0.07"
"26","A","Hee","no","0.05","-0.02"
"27","H","Twe","no","-0.16","-0.18"
"28","A","Fey","no","0.35","0.17"
"29","H","Zwo","no","-0.16","0.01"
"30","A","Emm","no","0.02","0.03"
"31","H","Vit","no","-0.07","-0.05"
"32","A","WII","no","0.25","0.20"
"33","H","VVV","no","-0.16","0.05"
"34","A","Sit","no","-0.05","0.00"
