"","HA","vs","played","sched","cumulative"
"1","H","Gro","yes","-0.15","-0.15"
"2","A","Ajx","yes","0.79","0.64"
"3","H","Hee","yes","-0.30","0.34"
"4","A","WII","yes","0.55","0.89"
"5","H","Zwo","yes","-0.53","0.36"
"6","A","Utr","yes","0.40","0.76"
"7","H","Fey","yes","0.22","0.98"
"8","H","ADO","yes","-0.80","0.18"
"9","A","Her","yes","0.15","0.33"
"10","H","Sit","yes","-0.54","-0.22"
"11","A","Twe","yes","0.06","-0.15"
"12","H","Vit","yes","-0.07","-0.23"
"13","A","AZA","yes","0.69","0.46"
"14","A","RKC","yes","-0.65","-0.19"
"15","H","PSV","yes","0.17","-0.02"
"16","A","VVV","yes","-0.07","-0.09"
"17","H","Spa","yes","-0.35","-0.43"
"18","A","Gro","yes","0.31","-0.13"
"19","H","Her","yes","-0.33","-0.46"
"20","A","Vit","yes","0.37","-0.09"
"21","A","Fey","yes","0.58","0.48"
"22","H","Twe","yes","-0.42","0.06"
"23","A","Sit","yes","-0.06","-0.00"
"24","H","WII","no","0.18","0.17"
"25","A","Spa","no","0.13","0.31"
"26","H","VVV","no","-0.55","-0.24"
"27","A","PSV","no","0.54","0.30"
"28","H","Utr","no","-0.03","0.27"
"29","A","ADO","no","-0.36","-0.09"
"30","H","Ajx","no","0.58","0.49"
"31","A","Hee","no","0.18","0.66"
"32","H","RKC","no","-1.01","-0.35"
"33","A","Zwo","no","-0.05","-0.40"
"34","H","AZA","no","0.40","0.00"
