"","HA","vs","played","sched","cumulative"
"1","H","RKC","yes","-1.05","-1.05"
"2","A","Spa","yes","0.14","-0.92"
"3","H","Ajx","yes","0.49","-0.42"
"4","A","Utr","yes","0.41","-0.02"
"5","A","ADO","yes","-0.37","-0.38"
"6","H","Gro","yes","-0.25","-0.63"
"7","A","WII","yes","0.50","-0.13"
"8","H","Hee","yes","-0.35","-0.47"
"9","A","PSV","yes","0.60","0.13"
"10","H","Vit","yes","-0.11","0.02"
"11","A","Sit","yes","-0.11","-0.09"
"12","H","Fey","yes","0.32","0.23"
"13","A","Her","yes","0.23","0.46"
"14","H","Twe","yes","-0.56","-0.09"
"15","A","AZA","yes","0.74","0.65"
"16","H","Emm","yes","-0.39","0.26"
"17","H","Zwo","yes","-0.54","-0.28"
"18","A","Vit","yes","0.35","0.07"
"19","H","PSV","yes","0.25","0.32"
"20","A","RKC","yes","-0.62","-0.30"
"21","H","Utr","yes","-0.03","-0.33"
"22","A","Hee","yes","0.16","-0.17"
"23","H","Her","yes","-0.26","-0.43"
"24","A","Gro","yes","0.24","-0.19"
"25","H","Sit","yes","-0.62","-0.81"
"26","A","Emm","yes","0.12","-0.70"
"27","H","AZA","no","0.49","-0.20"
"28","A","Zwo","no","-0.02","-0.23"
"29","H","WII","no","0.10","-0.13"
"30","A","Fey","no","0.64","0.52"
"31","A","Twe","no","-0.04","0.48"
"32","H","ADO","no","-0.85","-0.38"
"33","A","Ajx","no","0.74","0.37"
"34","H","Spa","no","-0.37","-0.00"
