"team","teamId","playedGames","goalDifference","points","rank"
"Paris Saint-Germain FC",524,38,54,86,1
"Olympique de Marseille",516,38,25,71,2
"AS Monaco FC",548,38,25,69,3
"Stade Rennais FC 1901",529,38,42,66,4
"OGC Nice",522,38,16,66,5
"RC Strasbourg Alsace",576,38,17,63,6
"Racing Club de Lens",546,38,14,62,7
"Olympique Lyonnais",523,38,15,61,8
"FC Nantes",543,38,7,55,9
"Lille OSC",521,38,0,55,10
"Stade Brestois 29",512,38,-8,48,11
"Stade de Reims",547,38,-1,46,12
"Montpellier HSC",518,38,-12,43,13
"Angers SCO",532,38,-11,41,14
"ES Troyes AC",531,38,-16,38,15
"FC Lorient",525,38,-28,36,16
"Clermont Foot 63",541,38,-31,36,17
"AS Saint-Étienne",527,38,-35,32,18
"FC Metz",545,38,-34,31,19
"FC Girondins de Bordeaux",526,38,-39,31,20
