"","HA","vs","sched","cumulative"
"1","H","Bur",0.05,0.05
"2","A","Tot",0.83,0.87
"3","H","Eve",-0.29,0.58
"4","A","Lei",-0.25,0.32
"5","H","Ars",0.03,0.36
"6","A","Sto",0.16,0.52
"7","H","MnC",1.47,1.99
"8","A","Cry",-0.86,1.13
"9","H","Wat",-0.16,0.97
"10","A","Bou",-0.4,0.57
"11","H","MnU",0.72,1.29
"12","A","WBA",0.05,1.34
"13","A","Liv",0.78,2.12
"14","H","Swa",-0.73,1.39
"15","H","New",-0.4,0.99
"16","A","WHU",-0.28,0.71
"17","A","Hud",-0.3,0.41
"18","H","Sot",-0.63,-0.23
"19","A","Eve",0.22,-0.01
"20","H","BHA",-0.44,-0.45
"21","H","Sto",-0.33,-0.78
"22","A","Ars",0.72,-0.06
"23","H","Lei",-0.55,-0.6
"24","A","BHA",-0.05,-0.65
"25","H","Bou",-0.62,-1.27
"26","A","Wat",0.44,-0.83
"27","H","WBA",-0.39,-1.22
"28","A","MnU",1.42,0.21
"29","A","MnC",1.87,2.08
"30","H","Cry",-0.86,1.22
"31","A","Bur",0.74,1.96
"32","H","Tot",0.11,2.07
"33","H","WHU",-0.56,1.51
"34","A","Sot",-0.43,1.08
"35","H","Hud",-0.57,0.51
"36","A","Swa",-0.61,-0.1
"37","H","Liv",0.08,-0.03
"38","A","New",0.03,0
