"","HA","vs","sched","cumulative"
"1","A","Che",1.17,1.17
"2","H","WBA",-0.43,0.74
"3","A","Tot",0.92,1.66
"4","H","Cry",-1.14,0.52
"5","A","Liv",0.88,1.4
"6","H","Hud",-0.7,0.7
"7","A","Eve",0.32,1.02
"8","H","WHU",-0.68,0.34
"9","A","MnC",1.69,2.04
"10","H","New",-0.45,1.59
"11","A","Sot",-0.5,1.09
"12","H","Swa",-0.94,0.15
"13","H","Ars",0.13,0.27
"14","A","Bou",-0.45,-0.18
"15","A","Lei",-0.26,-0.44
"16","H","Wat",-0.12,-0.56
"17","H","Sto",-0.34,-0.9
"18","A","BHA",0,-0.9
"19","H","Tot",0.22,-0.68
"20","A","MnU",1.39,0.72
"21","A","Hud",-0.33,0.39
"22","H","Liv",0.18,0.57
"23","A","Cry",-1.14,-0.57
"24","H","MnU",0.84,0.27
"25","A","New",0.1,0.37
"26","H","MnC",1.44,1.8
"27","A","Swa",-0.77,1.04
"28","H","Sot",-0.79,0.24
"29","H","Eve",-0.3,-0.06
"30","A","WHU",-0.29,-0.35
"31","H","Che",0.51,0.17
"32","A","WBA",0.12,0.29
"33","A","Wat",0.56,0.85
"34","H","Lei",-0.66,0.19
"35","A","Sto",0.26,0.45
"36","H","BHA",-0.51,-0.06
"37","A","Ars",0.83,0.77
"38","H","Bou",-0.77,0
