"","HA","vs","sched","cumulative"
"1","H","Tot",0.4,0.4
"2","A","Hud",-0.23,0.17
"3","H","WHU",-0.73,-0.57
"4","A","Swa",-0.93,-1.5
"5","H","Sto",-0.2,-1.7
"6","A","BHA",0.15,-1.55
"7","H","Liv",0.36,-1.19
"8","A","Sot",-0.48,-1.67
"9","H","Cry",-1.74,-3.41
"10","A","Bur",0.79,-2.62
"11","H","Bou",-0.9,-3.52
"12","A","MnU",1.06,-2.46
"13","H","Wat",0.08,-2.39
"14","A","WBA",0.27,-2.12
"15","A","Che",0.96,-1.16
"16","H","Lei",-0.7,-1.86
"17","H","Eve",-0.14,-2
"18","A","Ars",0.79,-1.22
"19","A","WHU",-0.19,-1.4
"20","H","MnC",1.09,-0.31
"21","H","BHA",-0.44,-0.76
"22","A","Sto",0.39,-0.37
"23","H","Swa",-1.26,-1.63
"24","A","MnC",1.19,-0.44
"25","H","Bur",0.33,-0.11
"26","A","Cry",-1.74,-1.85
"27","H","MnU",0.82,-1.03
"28","A","Bou",-0.41,-1.44
"29","A","Liv",0.81,-0.63
"30","H","Sot",-0.96,-1.58
"31","A","Tot",0.84,-0.75
"32","H","Hud",-0.77,-1.52
"33","A","Lei",-0.15,-1.66
"34","H","Ars",0.32,-1.35
"35","A","Eve",0.44,-0.91
"36","H","WBA",-0.33,-1.24
"37","A","Wat",0.62,-0.62
"38","H","Che",0.62,0
