"","HA","vs","sched","cumulative"
"1","A","New",0.08,0.08
"2","H","Che",0.49,0.57
"3","H","Bur",0.12,0.68
"4","A","Eve",0.3,0.98
"5","H","Swa",-0.89,0.09
"6","A","WHU",-0.29,-0.2
"7","A","Hud",-0.33,-0.53
"8","H","Bou",-0.74,-1.26
"9","H","Liv",0.15,-1.11
"10","A","MnU",1.41,0.3
"11","H","Cry",-1.08,-0.78
"12","A","Ars",0.81,0.03
"13","H","WBA",-0.43,-0.39
"14","A","Lei",-0.26,-0.66
"15","A","Wat",0.54,-0.12
"16","H","Sto",-0.34,-0.46
"17","H","BHA",-0.5,-0.96
"18","A","MnC",1.74,0.78
"19","A","Bur",0.83,1.61
"20","H","Sot",-0.76,0.84
"21","H","WHU",-0.65,0.19
"22","A","Swa",-0.74,-0.54
"23","H","Eve",-0.3,-0.85
"24","A","Sot",-0.49,-1.34
"25","H","MnU",0.82,-0.51
"26","A","Liv",0.86,0.35
"27","H","Ars",0.1,0.45
"28","A","Cry",-1.08,-0.62
"29","H","Hud",-0.67,-1.29
"30","A","Bou",-0.45,-1.74
"31","H","New",-0.44,-2.18
"32","A","Che",1.17,-1.01
"33","A","Sto",0.23,-0.78
"34","H","MnC",1.45,0.68
"35","A","BHA",-0.01,0.66
"36","H","Wat",-0.13,0.53
"37","A","WBA",0.1,0.64
"38","H","Lei",-0.64,0
