"","HA","vs","sched","cumulative"
"1","A","Cry",-2.11,-2.11
"2","H","New",-0.19,-2.3
"3","H","Sot",-0.86,-3.16
"4","A","WHU",-0.08,-3.23
"5","H","Lei",-0.55,-3.79
"6","A","Bur",0.63,-3.16
"7","H","Tot",0.4,-2.76
"8","A","Swa",-0.85,-3.61
"9","H","MnU",0.65,-2.95
"10","A","Liv",0.64,-2.32
"11","H","WBA",-0.17,-2.48
"12","A","Bou",-0.29,-2.77
"13","H","MnC",0.8,-1.97
"14","A","Ars",0.62,-1.35
"15","A","Eve",0.4,-0.94
"16","H","BHA",-0.28,-1.22
"17","H","Che",0.54,-0.68
"18","A","Wat",0.52,-0.16
"19","A","Sot",-0.36,-0.52
"20","H","Sto",-0.06,-0.58
"21","H","Bur",0.36,-0.22
"22","A","Lei",-0.04,-0.27
"23","H","WHU",-0.59,-0.85
"24","A","Sto",0.37,-0.49
"25","H","Liv",0.38,-0.11
"26","A","MnU",0.78,0.67
"27","H","Bou",-0.79,-0.12
"28","A","WBA",0.28,0.17
"29","A","Tot",0.65,0.82
"30","H","Swa",-1.27,-0.45
"31","H","Cry",-2.11,-2.56
"32","A","New",0.27,-2.29
"33","A","BHA",0.2,-2.09
"34","H","Wat",0.17,-1.92
"35","A","Che",0.72,-1.19
"36","H","Eve",0,-1.2
"37","A","MnC",0.85,-0.35
"38","H","Ars",0.35,0
