"","HA","vs","sched","cumulative"
"1","A","Ars",0.65,0.65
"2","H","BHA",-0.31,0.34
"3","A","MnU",0.83,1.17
"4","H","Che",0.56,1.73
"5","A","Hud",-0.14,1.59
"6","H","Liv",0.38,1.97
"7","A","Bou",-0.31,1.66
"8","H","WBA",-0.2,1.46
"9","A","Swa",-0.88,0.59
"10","H","Eve",-0.03,0.56
"11","A","Sto",0.38,0.94
"12","H","MnC",0.85,1.79
"13","A","WHU",-0.1,1.69
"14","H","Tot",0.41,2.1
"15","H","Bur",0.36,2.46
"16","A","New",0.27,2.73
"17","A","Sot",-0.39,2.35
"18","H","Cry",-2.05,0.3
"19","H","MnU",0.69,0.98
"20","A","Wat",0.54,1.53
"21","A","Liv",0.67,2.2
"22","H","Hud",-0.66,1.53
"23","A","Che",0.77,2.3
"24","H","Wat",0.16,2.46
"25","A","Eve",0.42,2.88
"26","H","Swa",-1.28,1.6
"27","A","MnC",0.91,2.5
"28","H","Sto",-0.08,2.42
"29","H","Bou",-0.82,1.6
"30","A","WBA",0.29,1.89
"31","H","Ars",0.35,2.24
"32","A","BHA",0.19,2.43
"33","H","New",-0.22,2.21
"34","A","Bur",0.66,2.87
"35","H","Sot",-0.89,1.98
"36","A","Cry",-2.05,-0.07
"37","H","WHU",-0.62,-0.69
"38","A","Tot",0.69,0
