"","HA","vs","sched","cumulative"
"1","A","BHA",-0.03,-0.03
"2","H","Eve",-0.11,-0.14
"3","A","Bou",-0.13,-0.28
"4","H","Liv",0,-0.28
"5","A","Wat",0.15,-0.13
"6","H","Cry",-0.26,-0.39
"7","A","Che",0.56,0.16
"8","H","Sto",-0.12,0.04
"9","H","Bur",-0.01,0.03
"10","A","WBA",0,0.03
"11","H","Ars",-0.02,0.01
"12","A","Lei",-0.09,-0.08
"13","A","Hud",-0.11,-0.19
"14","H","Sot",-0.2,-0.39
"15","H","WHU",-0.18,-0.57
"16","A","MnU",0.86,0.29
"17","A","Swa",-0.2,0.1
"18","H","Tot",0.01,0.1
"19","H","Bou",-0.2,-0.1
"20","A","New",-0.01,-0.1
"21","A","Cry",-0.26,-0.36
"22","H","Wat",-0.07,-0.44
"23","A","Liv",0.32,-0.12
"24","H","New",-0.14,-0.26
"25","H","WBA",-0.14,-0.4
"26","A","Bur",0.29,-0.11
"27","H","Lei",-0.18,-0.28
"28","A","Ars",0.29,0
"29","H","Che",0.1,0.1
"30","A","Sto",0.04,0.14
"31","H","BHA",-0.15,-0.01
"32","A","Eve",0.06,0.05
"33","H","MnU",0.26,0.31
"34","A","Tot",0.34,0.66
"35","H","Swa",-0.23,0.43
"36","A","WHU",-0.1,0.33
"37","H","Hud",-0.19,0.14
"38","A","Sot",-0.14,0
