"","HA","vs","sched","cumulative"
"1","A","WBA",0.27,0.27
"2","H","Wat",0.19,0.46
"3","H","MnC",0.7,1.16
"4","A","Ars",0.55,1.72
"5","H","BHA",-0.21,1.51
"6","A","Eve",0.38,1.88
"7","H","Lei",-0.47,1.41
"8","A","Tot",0.58,1.99
"9","A","Sto",0.35,2.33
"10","H","Che",0.49,2.83
"11","A","New",0.26,3.09
"12","H","Hud",-0.55,2.54
"13","A","Swa",-0.79,1.75
"14","H","Bur",0.34,2.09
"15","H","Sot",-0.78,1.32
"16","A","Cry",-2.23,-0.91
"17","A","MnU",0.68,-0.23
"18","H","Liv",0.36,0.13
"19","A","MnC",0.74,0.87
"20","H","WHU",-0.51,0.36
"21","H","Eve",0.04,0.4
"22","A","BHA",0.2,0.6
"23","H","Ars",0.34,0.94
"24","A","WHU",-0.04,0.89
"25","A","Che",0.64,1.53
"26","H","Sto",-0.01,1.52
"27","A","Hud",-0.08,1.44
"28","H","New",-0.13,1.31
"29","A","Lei",-0.01,1.29
"30","H","Tot",0.38,1.67
"31","H","WBA",-0.11,1.56
"32","A","Wat",0.47,2.03
"33","H","Cry",-2.23,-0.19
"34","A","Liv",0.57,0.37
"35","H","MnU",0.58,0.96
"36","A","Sot",-0.31,0.65
"37","H","Swa",-1.21,-0.56
"38","A","Bur",0.56,0
