"","HA","vs","sched","cumulative"
"1","H","Lei",-0.66,-0.66
"2","A","Sto",0.26,-0.4
"3","A","Liv",0.88,0.48
"4","H","Bou",-0.77,-0.3
"5","A","Che",1.17,0.87
"6","H","WBA",-0.43,0.44
"7","H","BHA",-0.51,-0.07
"8","A","Wat",0.56,0.5
"9","A","Eve",0.32,0.82
"10","H","Swa",-0.95,-0.13
"11","A","MnC",1.68,1.56
"12","H","Tot",0.23,1.78
"13","A","Bur",0.85,2.63
"14","H","Hud",-0.7,1.93
"15","H","MnU",0.85,2.77
"16","A","Sot",-0.5,2.27
"17","A","WHU",-0.29,1.98
"18","H","New",-0.45,1.53
"19","H","Liv",0.18,1.71
"20","A","Cry",-1.15,0.56
"21","A","WBA",0.13,0.69
"22","H","Che",0.52,1.21
"23","A","Bou",-0.46,0.75
"24","H","Cry",-1.15,-0.4
"25","A","Swa",-0.77,-1.18
"26","H","Eve",-0.3,-1.47
"27","A","Tot",0.92,-0.55
"28","H","MnC",1.43,0.88
"29","A","BHA",0,0.89
"30","H","Wat",-0.11,0.77
"31","A","Lei",-0.26,0.51
"32","H","Sto",-0.34,0.17
"33","H","Sot",-0.8,-0.63
"34","A","New",0.1,-0.53
"35","H","WHU",-0.68,-1.21
"36","A","MnU",1.39,0.18
"37","H","Bur",0.15,0.33
"38","A","Hud",-0.33,0
