"","HA","vs","sched","cumulative"
"1","A","Wat",0.55,0.55
"2","H","Cry",-1.11,-0.56
"3","H","Ars",0.12,-0.45
"4","A","MnC",1.71,1.27
"5","H","Bur",0.13,1.4
"6","A","Lei",-0.26,1.14
"7","A","New",0.09,1.22
"8","H","MnU",0.84,2.06
"9","A","Tot",0.92,2.98
"10","H","Hud",-0.69,2.29
"11","A","WHU",-0.29,2
"12","H","Sot",-0.78,1.22
"13","H","Che",0.5,1.72
"14","A","Sto",0.25,1.97
"15","A","BHA",-0.01,1.96
"16","H","Eve",-0.3,1.66
"17","H","WBA",-0.43,1.23
"18","A","Bou",-0.45,0.78
"19","A","Ars",0.82,1.6
"20","H","Swa",-0.92,0.69
"21","H","Lei",-0.65,0.04
"22","A","Bur",0.84,0.87
"23","H","MnC",1.44,2.32
"24","A","Swa",-0.75,1.56
"25","A","Hud",-0.33,1.24
"26","H","Tot",0.21,1.45
"27","A","Sot",-0.5,0.95
"28","H","WHU",-0.67,0.28
"29","H","New",-0.44,-0.16
"30","A","MnU",1.4,1.24
"31","H","Wat",-0.12,1.12
"32","A","Cry",-1.11,0.01
"33","A","Eve",0.31,0.32
"34","H","Bou",-0.75,-0.44
"35","A","WBA",0.11,-0.32
"36","H","Sto",-0.34,-0.67
"37","A","Che",1.17,0.5
"38","H","BHA",-0.5,0
