"team","teamId","playedGames","goalDifference","points","rank"
"FC Barcelona",81,38,50,88,1
"Real Madrid CF",86,38,39,78,2
"Club Atlético de Madrid",78,38,37,77,3
"Real Sociedad de Fútbol",92,38,16,71,4
"Villarreal CF",94,38,19,64,5
"Real Betis Balompié",90,38,5,60,6
"CA Osasuna",79,38,-5,53,7
"Athletic Club",77,38,4,51,8
"RCD Mallorca",89,38,-6,50,9
"Girona FC",298,38,3,49,10
"Rayo Vallecano de Madrid",87,38,-8,49,11
"Sevilla FC",559,38,-7,49,12
"RC Celta de Vigo",558,38,-10,43,13
"Cádiz CF",264,38,-23,42,14
"Getafe CF",82,38,-11,42,15
"Valencia CF",95,38,-3,42,16
"UD Almería",267,38,-16,41,17
"Real Valladolid CF",250,38,-30,40,18
"RCD Espanyol de Barcelona",80,38,-17,37,19
"Elche CF",285,38,-37,25,20
