"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Bar","Barcelona",38,50,88,1,1,38,2.32
"RMa","Real Madrid",38,39,78,2,2,38,2.05
"Atl","Atlético Madrid",38,37,77,3,3,38,2.03
"RSo","Real Sociedad",38,16,71,4,4,38,1.87
"Vil","Villarreal",38,19,64,5,5,38,1.68
"Bet","Real Betis",38,5,60,6,6,38,1.58
"Osa","Osasuna",38,-5,53,7,7,38,1.39
"Bil","Athletic Bilbao",38,4,51,8,8,38,1.34
"Mal","Mallorca",38,-6,50,9,9,38,1.32
"Gir","Girona",38,3,49,10,10,38,1.29
"Ray","Rayo Vallecano",38,-8,49,11,11,38,1.29
"Sev","Sevilla",38,-7,49,12,12,38,1.29
"Cel","Celta Vigo",38,-10,43,13,13,38,1.13
"Cad","Cádiz CF",38,-23,42,14,14,38,1.11
"Get","Getafe",38,-11,42,15,15,38,1.11
"Val","Valencia",38,-3,42,16,16,38,1.11
"Alm","Almería",38,-16,41,17,17,38,1.08
"Vdd","Real Valladolid",38,-30,40,18,18,38,1.05
"Esp","Espanyol",38,-17,37,19,19,38,0.97
"Elc","Elche",38,-37,25,20,20,38,0.66
