"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Stu","yes",3,"1.32","0.01","0.01"
"2","H","Wol","yes",1,"1.23","0.08","0.09"
"3","A","Dor","yes",0,"0.75","0.44","0.53"
"4","H","Bre","yes",1,"1.69","-0.26","0.27"
"5","A","UnB","yes",1,"0.80","0.40","0.67"
"6","H","Lev","yes",0,"1.30","0.02","0.69"
"7","A","Lei","yes",0,"0.47","0.64","1.33"
"8","H","Mai","yes",0,"1.58","-0.18","1.15"
"9","A","Aug","yes",1,"1.35","-0.01","1.14"
"10","H","BMg","yes",1,"1.63","-0.22","0.93"
"11","H","Bie","yes",3,"2.02","-0.51","0.41"
"12","A","Sch","yes",3,"1.96","-0.47","-0.05"
"13","H","Her","yes",3,"1.93","-0.45","-0.50"
"14","A","Hof","yes",3,"1.05","0.21","-0.29"
"15","H","Kln","yes",3,"1.61","-0.20","-0.49"
"16","A","Mun","yes",0,"0.31","0.76","0.27"
"17","H","Fra","yes",1,"1.33","0.00","0.28"
"18","H","Stu","yes",3,"1.47","-0.10","0.17"
"19","A","Wol","yes",0,"0.58","0.56","0.74"
"20","H","Dor","yes",3,"1.13","0.15","0.89"
"21","A","Bre","yes",1,"1.75","-0.31","0.58"
"22","H","UnB","yes",0,"1.75","-0.31","0.28"
"23","A","Lev","yes",3,"0.84","0.37","0.65"
"24","H","Lei","yes",0,"0.98","0.27","0.91"
"25","A","Mai","yes",0,"1.59","-0.19","0.72"
"26","H","Aug","yes",3,"1.91","-0.43","0.29"
"27","A","BMg","yes",0,"0.89","0.34","0.63"
"28","A","Bie","yes",0,"1.33","0.00","0.64"
"29","H","Sch","yes",3,"2.58","-0.93","-0.29"
"30","H","Hof","yes",1,"1.88","-0.40","-0.70"
"31","A","Her","no",NA,"1.44","-0.08","-0.77"
"32","A","Kln","no",NA,"1.79","-0.34","-1.11"
"33","H","Mun","no",NA,"0.71","0.47","-0.64"
"34","A","Fra","no",NA,"0.48","0.64","-0.00"
