"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Fbg","yes",0,-1,"1.42","-0.03","-0.03"
"2","A","Mai","yes",3,3,"2.02","-0.47","-0.50"
"3","H","Lev","yes",1,0,"1.09","0.21","-0.29"
"4","A","Her","yes",3,2,"1.77","-0.28","-0.58"
"5","H","Kln","yes",1,0,"1.33","0.03","-0.55"
"6","A","Sch","yes",1,0,"2.18","-0.58","-1.13"
"7","H","Fra","yes",1,0,"1.17","0.15","-0.98"
"8","A","Hof","yes",1,0,"1.42","-0.03","-1.01"
"9","H","Mun","yes",0,-2,"0.56","0.59","-0.42"
"10","A","Bre","yes",3,1,"2.07","-0.51","-0.93"
"11","A","Dor","yes",3,4,"0.98","0.29","-0.64"
"12","H","UnB","yes",1,0,"1.47","-0.07","-0.71"
"13","A","Wol","yes",0,-1,"0.83","0.39","-0.31"
"14","H","Lei","yes",0,-1,"0.81","0.41","0.10"
"15","A","Aug","yes",3,3,"1.64","-0.19","-0.10"
"16","H","BMg","yes",1,0,"1.34","0.02","-0.07"
"17","A","Bie","yes",0,-3,"1.76","-0.28","-0.35"
"18","A","Fbg","yes",0,-1,"1.36","0.01","-0.33"
"19","H","Mai","yes",3,2,"1.24","0.10","-0.23"
"20","A","Lev","yes",0,-3,"1.26","0.09","-0.15"
"21","H","Her","yes",1,0,"1.58","-0.15","-0.29"
"22","A","Kln","yes",3,1,"2.19","-0.59","-0.89"
"23","H","Sch","yes",3,4,"2.45","-0.78","-1.67"
"24","A","Fra","yes",1,0,"0.81","0.41","-1.26"
"25","H","Hof","yes",3,2,"1.59","-0.16","-1.41"
"26","A","Mun","yes",0,-4,"0.46","0.66","-0.75"
"27","H","Bre","yes",3,1,"1.48","-0.07","-0.82"
"28","H","Dor","yes",0,-1,"0.82","0.40","-0.42"
"29","A","UnB","yes",0,-1,"1.16","0.16","-0.26"
"30","H","Wol","yes",0,-2,"0.94","0.32","0.06"
"31","A","Lei","yes",0,-2,"0.79","0.43","0.49"
"32","H","Aug","yes",3,1,"1.70","-0.24","0.25"
"33","A","BMg","yes",3,1,"1.30","0.05","0.30"
"34","H","Bie","no",NA,NA,"1.80","-0.30","-0.00"
