"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","BMg","yes",3,"1.92","-0.08","-0.08"
"2","A","Aug","yes",0,"1.97","-0.11","-0.20"
"3","H","Fbg","yes",3,"1.99","-0.13","-0.33"
"4","A","Hof","yes",3,"1.68","0.05","-0.28"
"5","H","Sch","yes",3,"2.69","-0.52","-0.80"
"6","A","Bie","yes",3,"1.94","-0.10","-0.90"
"7","H","Mun","yes",0,"0.95","0.46","-0.44"
"8","A","Her","yes",3,"2.04","-0.15","-0.59"
"9","H","Kln","yes",0,"1.90","-0.07","-0.66"
"10","A","Fra","yes",1,"0.92","0.48","-0.19"
"11","H","Stu","yes",0,"1.77","-0.00","-0.19"
"12","A","Bre","yes",3,"2.28","-0.29","-0.48"
"13","A","UnB","yes",0,"1.39","0.21","-0.27"
"14","H","Wol","yes",3,"1.53","0.13","-0.13"
"15","A","Lei","yes",3,"0.92","0.48","0.35"
"16","H","Mai","yes",1,"1.87","-0.06","0.29"
"17","A","Lev","yes",0,"1.44","0.19","0.48"
"18","A","BMg","yes",0,"1.43","0.19","0.66"
"19","H","Aug","yes",3,"2.16","-0.22","0.44"
"20","A","Fbg","yes",0,"1.61","0.09","0.53"
"21","H","Hof","yes",1,"2.13","-0.21","0.32"
"22","A","Sch","yes",3,"2.42","-0.37","-0.05"
"23","H","Bie","yes",3,"2.29","-0.30","-0.35"
"24","A","Mun","yes",0,"0.64","0.64","0.29"
"25","H","Her","yes",3,"2.18","-0.24","0.05"
"26","A","Kln","yes",1,"2.31","-0.31","-0.26"
"27","H","Fra","yes",0,"1.63","0.07","-0.18"
"28","A","Stu","yes",3,"1.93","-0.10","-0.28"
"29","H","Bre","yes",3,"1.97","-0.11","-0.39"
"30","H","UnB","yes",3,"2.02","-0.15","-0.54"
"31","A","Wol","yes",3,"1.08","0.39","-0.15"
"32","H","Lei","no",NA,"1.26","0.29","0.13"
"33","A","Mai","no",NA,"2.16","-0.22","-0.09"
"34","H","Lev","no",NA,"1.60","0.09","-0.00"
