"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Fra","yes",1,"0.31","0.70","0.70"
"2","H","Kln","yes",3,"1.36","-0.36","0.34"
"3","A","Bre","yes",0,"1.30","-0.30","0.04"
"4","H","Mun","yes",0,"0.36","0.64","0.68"
"5","A","Wol","yes",0,"0.30","0.70","1.37"
"6","H","Dor","yes",0,"0.91","0.09","1.47"
"7","A","UnB","yes",0,"0.59","0.41","1.88"
"8","H","Lev","yes",0,"0.94","0.06","1.94"
"9","A","Lei","yes",0,"0.33","0.67","2.61"
"10","H","Mai","yes",3,"1.28","-0.28","2.33"
"11","A","Fbg","yes",0,"0.64","0.36","2.68"
"12","H","Aug","yes",0,"1.56","-0.56","2.13"
"13","A","Sch","yes",3,"1.60","-0.60","1.53"
"14","H","BMg","yes",0,"1.16","-0.16","1.37"
"15","H","Her","yes",3,"1.55","-0.55","0.82"
"16","A","Hof","yes",1,"0.81","0.19","1.01"
"17","H","Stu","yes",3,"1.06","-0.06","0.95"
"18","H","Fra","yes",0,"0.89","0.11","1.06"
"19","A","Kln","yes",0,"1.40","-0.40","0.66"
"20","A","Mun","yes",1,"0.21","0.79","1.46"
"21","H","Wol","yes",0,"0.97","0.04","1.49"
"22","A","Dor","yes",0,"0.54","0.46","1.95"
"23","H","UnB","yes",1,"1.31","-0.31","1.65"
"24","H","Bre","yes",0,"1.26","-0.25","1.39"
"25","A","Lev","yes",3,"0.64","0.36","1.76"
"26","H","Lei","yes",0,"0.67","0.34","2.09"
"27","A","Mai","yes",1,"1.42","-0.41","1.68"
"28","H","Fbg","yes",3,"1.35","-0.34","1.33"
"29","A","Aug","yes",1,"0.90","0.10","1.43"
"30","H","Sch","yes",3,"2.38","-1.37","0.06"
"31","A","BMg","no",NA,"0.60","0.40","0.46"
"32","A","Her","no",NA,"1.05","-0.05","0.41"
"33","H","Hof","no",NA,"1.52","-0.52","-0.11"
"34","A","Stu","no",NA,"0.89","0.11","-0.00"
