"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Dor","yes",0,"0.80","0.44","0.44"
"2","H","UnB","yes",1,"1.88","-0.31","0.14"
"3","A","Kln","yes",3,"1.87","-0.30","-0.16"
"4","H","Wol","yes",1,"1.37","0.05","-0.11"
"5","A","Mai","yes",3,"1.88","-0.30","-0.42"
"6","H","Lei","yes",3,"1.09","0.24","-0.18"
"7","A","Lev","yes",0,"1.00","0.30","0.12"
"8","H","Aug","yes",1,"2.03","-0.42","-0.29"
"9","H","Sch","yes",3,"2.64","-0.84","-1.13"
"10","A","Fbg","yes",1,"1.01","0.30","-0.83"
"11","H","Her","yes",1,"2.04","-0.42","-1.25"
"12","A","Fra","yes",1,"0.52","0.64","-0.61"
"13","H","Hof","yes",0,"2.02","-0.40","-1.02"
"14","A","Bie","yes",3,"1.41","0.02","-1.00"
"15","H","Mun","yes",3,"0.63","0.56","-0.44"
"16","A","Stu","yes",1,"1.40","0.03","-0.41"
"17","H","Bre","yes",3,"1.76","-0.22","-0.63"
"18","H","Dor","yes",3,"1.40","0.02","-0.61"
"19","A","UnB","yes",1,"0.94","0.35","-0.26"
"20","H","Kln","yes",0,"1.75","-0.21","-0.48"
"21","A","Wol","yes",1,"0.52","0.64","0.16"
"22","H","Mai","yes",0,"1.71","-0.19","-0.03"
"23","A","Lei","yes",0,"0.56","0.61","0.59"
"24","H","Lev","yes",0,"1.44","0.00","0.59"
"25","A","Aug","yes",0,"1.43","0.00","0.59"
"26","A","Sch","yes",3,"2.03","-0.41","0.17"
"27","H","Fbg","yes",3,"1.86","-0.29","-0.12"
"28","A","Her","yes",1,"1.51","-0.05","-0.17"
"29","H","Fra","yes",3,"1.38","0.04","-0.13"
"30","A","Hof","yes",0,"1.12","0.22","0.09"
"31","H","Bie","no",NA,"2.14","-0.49","-0.40"
"32","A","Mun","no",NA,"0.35","0.76","0.36"
"33","H","Stu","no",NA,"1.56","-0.09","0.27"
"34","A","Bre","no",NA,"1.83","-0.27","0.00"
