"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Mai","yes",3,"2.24","-0.10","-0.10"
"2","A","Lev","yes",1,"1.60","0.21","0.10"
"3","H","Sch","yes",3,"2.81","-0.38","-0.28"
"4","A","Aug","yes",3,"2.11","-0.04","-0.32"
"5","H","Her","yes",3,"2.47","-0.22","-0.53"
"6","A","BMg","yes",0,"1.66","0.18","-0.35"
"7","H","Fbg","yes",3,"2.34","-0.15","-0.50"
"8","A","Fra","yes",1,"1.07","0.47","-0.03"
"9","H","Bie","yes",3,"2.52","-0.24","-0.27"
"10","A","Mun","yes",1,"0.76","0.63","0.35"
"11","H","Bre","yes",3,"2.32","-0.14","0.21"
"12","A","Hof","yes",3,"1.84","0.09","0.30"
"13","H","Kln","yes",1,"2.26","-0.12","0.19"
"14","A","Stu","yes",3,"2.08","-0.03","0.16"
"15","H","Dor","yes",0,"1.87","0.08","0.24"
"16","A","Wol","yes",1,"1.25","0.39","0.63"
"17","H","UnB","yes",3,"2.36","-0.16","0.46"
"18","A","Mai","yes",0,"2.28","-0.12","0.34"
"19","H","Lev","yes",3,"2.03","-0.00","0.34"
"20","A","Sch","yes",3,"2.51","-0.24","0.10"
"21","H","Aug","yes",3,"2.46","-0.21","-0.11"
"22","A","Her","yes",3,"2.17","-0.07","-0.18"
"23","H","BMg","yes",3,"2.28","-0.12","-0.30"
"24","A","Fbg","yes",3,"1.77","0.13","-0.17"
"25","H","Fra","yes",1,"2.06","-0.01","-0.19"
"26","A","Bie","yes",3,"2.09","-0.03","-0.22"
"27","H","Mun","yes",0,"1.38","0.32","0.10"
"28","A","Bre","yes",3,"2.39","-0.18","-0.07"
"29","H","Hof","yes",1,"2.44","-0.20","-0.27"
"30","A","Kln","yes",0,"2.41","-0.19","-0.46"
"31","H","Stu","yes",3,"2.17","-0.07","-0.53"
"32","A","Dor","no",NA,"1.49","0.27","-0.26"
"33","H","Wol","no",NA,"1.96","0.03","-0.23"
"34","A","UnB","no",NA,"1.56","0.23","-0.00"
