"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Aug","yes",0,"2.11","-0.47","-0.47"
"2","A","BMg","yes",1,"0.86","0.40","-0.07"
"3","H","Mai","yes",3,"1.80","-0.26","-0.33"
"4","A","Sch","yes",1,"1.92","-0.35","-0.68"
"5","H","Fbg","yes",1,"1.93","-0.35","-1.03"
"6","A","Hof","yes",3,"1.02","0.29","-0.75"
"7","H","Bie","yes",3,"2.20","-0.54","-1.29"
"8","A","Kln","yes",3,"1.76","-0.23","-1.52"
"9","H","Fra","yes",1,"1.57","-0.10","-1.61"
"10","A","Her","yes",0,"1.40","0.02","-1.59"
"11","H","Mun","yes",1,"0.89","0.38","-1.22"
"12","A","Stu","yes",1,"1.28","0.10","-1.11"
"13","H","Dor","yes",3,"1.36","0.05","-1.06"
"14","A","Bre","yes",3,"1.71","-0.20","-1.26"
"15","H","Wol","yes",1,"1.46","-0.02","-1.28"
"16","H","Lev","yes",3,"1.54","-0.08","-1.36"
"17","A","Lei","yes",0,"0.46","0.68","-0.68"
"18","A","Aug","yes",0,"1.31","0.08","-0.60"
"19","H","BMg","yes",1,"1.85","-0.29","-0.89"
"20","A","Mai","yes",0,"1.55","-0.09","-0.98"
"21","H","Sch","yes",1,"2.67","-0.87","-1.84"
"22","A","Fbg","yes",3,"0.96","0.33","-1.51"
"23","H","Hof","yes",1,"2.08","-0.45","-1.97"
"24","A","Bie","yes",1,"1.29","0.10","-1.87"
"25","H","Kln","yes",3,"1.83","-0.28","-2.15"
"26","A","Fra","yes",0,"0.46","0.68","-1.47"
"27","H","Her","yes",1,"2.13","-0.49","-1.96"
"28","A","Mun","yes",1,"0.30","0.79","-1.17"
"29","H","Stu","yes",3,"1.70","-0.19","-1.37"
"30","A","Dor","yes",0,"0.72","0.49","-0.87"
"31","H","Bre","yes",3,"1.90","-0.33","-1.21"
"32","A","Wol","no",NA,"0.56","0.61","-0.60"
"33","A","Lev","no",NA,"0.81","0.43","-0.16"
"34","H","Lei","no",NA,"1.19","0.16","-0.00"
