"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Bre","yes",3,"1.45","-0.44","-0.44"
"2","H","Fra","yes",0,"0.81","0.20","-0.23"
"3","A","Mun","yes",0,"0.24","0.76","0.53"
"4","H","Stu","yes",0,"0.96","0.04","0.57"
"5","A","Lei","yes",0,"0.39","0.61","1.18"
"6","H","Wol","yes",1,"0.87","0.13","1.32"
"7","A","Aug","yes",3,"1.03","-0.02","1.30"
"8","H","Dor","yes",0,"0.82","0.19","1.48"
"9","A","Lev","yes",1,"0.74","0.26","1.75"
"10","H","UnB","yes",3,"1.21","-0.19","1.55"
"11","A","BMg","yes",1,"0.70","0.30","1.86"
"12","H","Mai","yes",1,"1.18","-0.17","1.69"
"13","A","Fbg","yes",0,"0.75","0.26","1.95"
"14","H","Sch","yes",3,"2.31","-1.29","0.66"
"15","A","Bie","yes",0,"1.09","-0.08","0.57"
"16","A","Kln","yes",1,"1.55","-0.54","0.04"
"17","H","Hof","yes",0,"1.41","-0.40","-0.36"
"18","H","Bre","yes",0,"1.15","-0.14","-0.50"
"19","A","Fra","yes",0,"0.36","0.64","0.14"
"20","H","Mun","yes",0,"0.32","0.68","0.82"
"21","A","Stu","yes",1,"1.02","-0.01","0.81"
"22","H","Lei","yes",0,"0.59","0.41","1.22"
"23","A","Wol","yes",0,"0.36","0.65","1.87"
"24","H","Aug","yes",3,"1.45","-0.44","1.43"
"25","A","Dor","yes",0,"0.63","0.38","1.81"
"26","H","Lev","yes",3,"0.85","0.16","1.96"
"27","A","UnB","yes",1,"0.69","0.32","2.28"
"28","H","BMg","yes",1,"1.06","-0.05","2.23"
"29","H","Fbg","no",NA,"1.24","-0.23","2.00"
"30","A","Sch","no",NA,"1.74","-0.73","1.27"
"31","H","Bie","no",NA,"1.57","-0.56","0.71"
"32","H","Kln","no",NA,"1.25","-0.24","0.47"
"33","A","Hof","no",NA,"0.93","0.07","0.55"
"34","A","Mai","no",NA,"1.56","-0.55","0.00"
