"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Hof","yes",0,"1.01","-0.02","-0.02"
"2","A","Bie","yes",0,"1.45","-0.47","-0.50"
"3","H","BMg","yes",0,"0.79","0.20","-0.30"
"4","H","Fra","yes",1,"0.58","0.41","0.11"
"5","A","Stu","yes",1,"1.44","-0.46","-0.35"
"6","H","Mun","yes",0,"0.26","0.74","0.39"
"7","A","Bre","yes",1,"1.86","-0.90","-0.51"
"8","H","UnB","yes",0,"0.89","0.10","-0.41"
"9","A","Dor","yes",3,"0.85","0.14","-0.27"
"10","H","Wol","yes",1,"0.51","0.48","0.20"
"11","A","Mai","yes",3,"1.71","-0.74","-0.54"
"12","H","Lev","yes",0,"0.56","0.43","-0.11"
"13","A","Lei","yes",1,"0.54","0.45","0.34"
"14","H","Aug","yes",0,"1.04","-0.06","0.28"
"15","A","Fbg","yes",0,"1.10","-0.12","0.16"
"16","H","Her","yes",1,"1.06","-0.08","0.08"
"17","A","Sch","yes",3,"2.06","-1.10","-1.02"
"18","A","Hof","yes",0,"1.17","-0.19","-1.21"
"19","H","Bie","yes",3,"1.21","-0.23","-1.44"
"20","A","BMg","yes",3,"0.94","0.04","-1.40"
"21","A","Fra","yes",0,"0.54","0.45","-0.95"
"22","H","Stu","yes",0,"0.67","0.32","-0.64"
"23","A","Mun","yes",0,"0.36","0.63","-0.01"
"24","H","Bre","yes",1,"0.83","0.15","0.15"
"25","A","UnB","yes",0,"0.90","0.08","0.23"
"26","H","Dor","yes",1,"0.46","0.53","0.76"
"27","A","Wol","yes",0,"0.66","0.33","1.09"
"28","H","Mai","yes",0,"0.75","0.24","1.33"
"29","A","Lev","yes",0,"0.94","0.04","1.37"
"30","H","Lei","yes",3,"0.38","0.61","1.98"
"31","A","Aug","yes",3,"1.47","-0.50","1.48"
"32","H","Fbg","no",NA,"0.86","0.13","1.61"
"33","A","Her","no",NA,"1.55","-0.58","1.02"
"34","H","Sch","no",NA,"1.99","-1.02","0.00"
