"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Lei","yes",0,"0.56","0.48","0.48"
"2","H","Stu","yes",0,"0.85","0.22","0.71"
"3","A","UnB","yes",0,"0.93","0.14","0.85"
"4","H","Lev","yes",0,"0.71","0.35","1.20"
"5","H","BMg","yes",0,"0.98","0.10","1.30"
"6","A","Aug","yes",0,"1.51","-0.38","0.92"
"7","H","Sch","yes",1,"2.18","-0.99","-0.07"
"8","A","Fbg","yes",3,"1.13","-0.04","-0.11"
"9","H","Hof","yes",1,"1.22","-0.12","-0.23"
"10","A","Bie","yes",0,"1.48","-0.36","-0.58"
"11","H","Kln","yes",0,"0.96","0.12","-0.46"
"12","A","Her","yes",1,"1.59","-0.46","-0.92"
"13","H","Bre","yes",0,"1.03","0.06","-0.86"
"14","A","Mun","yes",0,"0.38","0.66","-0.21"
"15","H","Fra","yes",0,"0.74","0.33","0.12"
"16","A","Dor","yes",1,"0.87","0.20","0.32"
"17","H","Wol","yes",0,"0.66","0.40","0.72"
"18","H","Lei","yes",3,"0.49","0.55","1.26"
"19","A","Stu","yes",0,"1.47","-0.35","0.91"
"20","H","UnB","yes",3,"1.09","0.00","0.92"
"21","A","Lev","yes",1,"0.97","0.11","1.02"
"22","A","BMg","yes",3,"0.97","0.11","1.14"
"23","H","Aug","yes",0,"1.26","-0.15","0.98"
"24","A","Sch","yes",1,"2.09","-0.92","0.07"
"25","H","Fbg","yes",3,"1.06","0.03","0.10"
"26","A","Hof","yes",3,"1.20","-0.10","0.00"
"27","H","Bie","yes",1,"1.44","-0.32","-0.32"
"28","A","Kln","yes",3,"1.94","-0.77","-1.09"
"29","A","Bre","yes",3,"1.90","-0.74","-1.83"
"30","H","Mun","yes",3,"0.34","0.69","-1.14"
"31","H","Her","no",NA,"1.28","-0.18","-1.31"
"32","A","Fra","no",NA,"0.57","0.48","-0.83"
"33","H","Dor","no",NA,"0.59","0.46","-0.37"
"34","A","Wol","no",NA,"0.68","0.37","-0.00"
