"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"MnC","Manchester City",38,73,93,1,1,38,2.45
"Liv","Liverpool",38,68,92,2,2,38,2.42
"Che","Chelsea",38,43,74,3,3,38,1.95
"Tot","Tottenham Hotspur",38,29,71,4,4,38,1.87
"Ars","Arsenal",38,13,69,5,5,38,1.82
"MnU","Manchester United",38,0,58,6,6,38,1.53
"WHU","West Ham United",38,9,56,7,7,38,1.47
"Lei","Leicester City",38,3,52,8,8,38,1.37
"BHA","Brighton & Hove Albion",38,-2,51,9,9,38,1.34
"Wol","Wolverhampton Wanderers",38,-5,51,10,10,38,1.34
"New","Newcastle United",38,-18,49,11,11,38,1.29
"Pal","Crystal Palace",38,4,48,12,12,38,1.26
"Bre","Brentford",38,-8,46,13,13,38,1.21
"Ast","Aston Villa",38,-2,45,14,14,38,1.18
"Sot","Southampton",38,-24,40,15,15,38,1.05
"Eve","Everton",38,-23,39,16,16,38,1.03
"Lee","Leeds United",38,-37,38,17,17,38,1
"Bur","Burnley",38,-19,35,18,18,38,0.92
"Wat","Watford",38,-43,23,19,19,38,0.61
"Nor","Norwich City",38,-61,22,20,20,38,0.58
