"","HA","vs","played","sched","cumulative"
"1","A","Val","yes","0.31","0.31"
"2","A","Mal","yes","-0.11","0.20"
"3","A","Bil","yes","0.17","0.38"
"4","H","Atl","yes","-0.02","0.36"
"5","A","Esp","yes","-0.19","0.16"
"6","H","Ala","yes","-0.28","-0.12"
"7","A","Sev","yes","0.42","0.30"
"8","H","Get","yes","0.00","0.30"
"9","H","Bet","yes","-0.23","0.07"
"10","A","Cel","yes","-0.05","0.03"
"11","H","Lev","yes","-0.23","-0.21"
"12","A","Gra","yes","0.22","0.01"
"13","H","Leg","yes","-0.40","-0.39"
"14","A","RMa","yes","0.61","0.21"
"15","H","Eib","yes","-0.34","-0.13"
"16","A","RVd","yes","0.01","-0.12"
"17","H","Bar","yes","0.31","0.19"
"18","A","Osa","yes","0.12","0.31"
"19","H","Vil","yes","-0.18","0.14"
"20","A","Bet","yes","0.11","0.25"
"21","H","Mal","yes","-0.38","-0.13"
"22","A","Leg","yes","-0.14","-0.27"
"23","H","Bil","yes","-0.18","-0.46"
"24","H","Val","yes","-0.07","-0.52"
"25","H","RVd","yes","-0.31","-0.83"
"26","A","Bar","yes","0.64","-0.19"
"27","A","Eib","yes","-0.04","-0.23"
"28","H","Osa","no","-0.23","-0.46"
"29","A","Ala","no","0.05","-0.41"
"30","H","RMa","no","0.27","-0.14"
"31","H","Cel","no","-0.34","-0.49"
"32","A","Get","no","0.38","-0.11"
"33","H","Esp","no","-0.44","-0.55"
"34","A","Lev","no","0.11","-0.44"
"35","H","Gra","no","-0.15","-0.58"
"36","A","Vil","no","0.18","-0.40"
"37","H","Sev","no","0.04","-0.36"
"38","A","Atl","no","0.36","0.00"
