"","HA","vs","played","sched","cumulative"
"1","H","Bar","yes","0.39","0.39"
"2","A","Get","yes","0.42","0.81"
"3","H","RSo","yes","0.02","0.83"
"4","A","Mal","yes","-0.13","0.69"
"5","H","Ala","yes","-0.37","0.33"
"6","A","Leg","yes","-0.18","0.15"
"7","H","Val","yes","-0.07","0.08"
"8","A","Cel","yes","-0.05","0.03"
"9","H","RVd","yes","-0.41","-0.38"
"10","A","Atl","yes","0.43","0.04"
"11","H","Esp","yes","-0.62","-0.58"
"12","A","Vil","yes","0.23","-0.35"
"13","H","Lev","yes","-0.30","-0.65"
"14","A","Osa","yes","0.16","-0.49"
"15","H","Gra","yes","-0.13","-0.62"
"16","A","Bet","yes","0.13","-0.49"
"17","H","Eib","yes","-0.47","-0.96"
"18","A","RMa","yes","0.67","-0.29"
"19","A","Sev","yes","0.50","0.21"
"20","H","Cel","yes","-0.47","-0.26"
"21","A","Esp","yes","-0.25","-0.51"
"22","H","Get","yes","-0.01","-0.52"
"23","A","RSo","yes","0.44","-0.08"
"24","H","Osa","yes","-0.29","-0.37"
"25","A","Ala","yes","0.07","-0.30"
"26","H","Vil","yes","-0.22","-0.51"
"27","A","RVd","yes","0.02","-0.49"
"28","H","Atl","no","-0.00","-0.49"
"29","A","Eib","no","-0.05","-0.54"
"30","H","Bet","no","-0.31","-0.85"
"31","A","Bar","no","0.70","-0.16"
"32","H","Mal","no","-0.53","-0.69"
"33","A","Val","no","0.37","-0.32"
"34","H","RMa","no","0.34","0.02"
"35","H","Sev","no","0.10","0.11"
"36","A","Lev","no","0.15","0.26"
"37","H","Leg","no","-0.57","-0.31"
"38","A","Gra","no","0.31","0.00"
