"","HA","vs","played","sched","cumulative"
"1","H","Gra","yes","-0.13","-0.13"
"2","A","Lev","yes","0.18","0.05"
"3","H","RMa","yes","0.33","0.38"
"4","A","Leg","yes","-0.23","0.15"
"5","H","RVd","yes","-0.33","-0.18"
"6","A","Bar","yes","0.68","0.50"
"7","H","Bet","yes","-0.31","0.19"
"8","A","Osa","yes","0.14","0.33"
"9","A","Esp","yes","-0.22","0.10"
"10","H","Ala","yes","-0.31","-0.21"
"11","A","Eib","yes","-0.01","-0.23"
"12","H","Bil","yes","-0.28","-0.51"
"13","A","Mal","yes","-0.16","-0.67"
"14","H","Cel","yes","-0.44","-1.11"
"15","A","Val","yes","0.33","-0.78"
"16","H","Atl","yes","0.03","-0.75"
"17","A","Sev","yes","0.44","-0.30"
"18","H","Get","yes","0.01","-0.29"
"19","A","RSo","yes","0.39","0.10"
"20","H","Esp","yes","-0.53","-0.44"
"21","A","Ala","yes","0.08","-0.36"
"22","H","Osa","yes","-0.27","-0.62"
"23","A","RVd","yes","0.05","-0.57"
"24","H","Lev","yes","-0.23","-0.80"
"25","A","Atl","yes","0.44","-0.36"
"26","A","Bil","no","0.11","-0.24"
"27","H","Leg","no","-0.54","-0.79"
"28","A","Cel","no","-0.08","-0.87"
"29","H","Mal","no","-0.49","-1.36"
"30","A","Gra","no","0.29","-1.08"
"31","H","Sev","no","0.04","-1.04"
"32","H","Val","no","-0.09","-1.12"
"33","A","Bet","no","0.09","-1.04"
"34","H","Bar","no","0.37","-0.67"
"35","A","Get","no","0.42","-0.25"
"36","H","RSo","no","-0.02","-0.27"
"37","A","RMa","no","0.66","0.39"
"38","H","Eib","no","-0.39","0.00"
