"","HA","vs","played","sched","cumulative"
"1","H","Osa","yes","-0.35","-0.35"
"2","H","Atl","yes","0.04","-0.31"
"3","A","Bet","yes","0.17","-0.15"
"4","H","Vil","yes","-0.19","-0.34"
"5","A","Val","yes","0.41","0.07"
"6","H","Bil","yes","-0.28","-0.22"
"7","A","Gra","yes","0.38","0.17"
"8","H","Lev","yes","-0.38","-0.22"
"9","A","Get","yes","0.49","0.27"
"10","H","Mal","yes","-0.85","-0.58"
"11","A","RMa","yes","0.72","0.15"
"12","H","Eib","yes","-0.71","-0.56"
"13","A","RSo","yes","0.49","-0.07"
"14","H","Bar","yes","0.50","0.43"
"15","A","Sev","yes","0.56","0.98"
"16","H","Cel","yes","-0.76","0.22"
"17","A","Ala","yes","0.05","0.27"
"18","H","Esp","yes","-0.92","-0.65"
"19","A","RVd","yes","0.10","-0.56"
"20","H","Get","yes","0.03","-0.52"
"21","A","Atl","yes","0.49","-0.03"
"22","H","RSo","yes","0.04","0.00"
"23","A","Lev","yes","0.19","0.20"
"24","H","Bet","yes","-0.42","-0.22"
"25","A","Cel","yes","-0.12","-0.34"
"26","H","Ala","yes","-0.57","-0.91"
"27","A","Vil","yes","0.33","-0.58"
"28","H","RVd","yes","-0.51","-1.09"
"29","A","Bar","no","0.75","-0.33"
"30","A","Mal","no","-0.20","-0.53"
"31","H","Gra","no","-0.13","-0.66"
"32","A","Osa","no","0.22","-0.44"
"33","H","Sev","no","0.15","-0.29"
"34","A","Esp","no","-0.27","-0.56"
"35","A","Eib","no","-0.07","-0.63"
"36","H","Val","no","-0.08","-0.71"
"37","A","Bil","no","0.27","-0.45"
"38","H","RMa","no","0.45","-0.00"
