"","HA","vs","played","sched","cumulative"
"1","H","RVd","yes","-0.50","-0.50"
"2","A","Bar","yes","0.71","0.21"
"3","H","Leg","yes","-0.62","-0.40"
"4","H","Get","yes","-0.15","-0.56"
"5","A","Osa","yes","0.29","-0.27"
"6","H","Lev","yes","-0.33","-0.60"
"7","A","Vil","yes","0.40","-0.20"
"8","H","Eib","yes","-0.45","-0.65"
"9","A","RSo","yes","0.34","-0.31"
"10","A","Gra","yes","0.32","0.01"
"11","H","Cel","yes","-0.57","-0.56"
"12","A","RMa","yes","0.79","0.23"
"13","H","Sev","yes","0.15","0.38"
"14","H","Val","yes","-0.19","0.19"
"15","A","Mal","yes","-0.19","0.00"
"16","H","Bil","yes","-0.23","-0.23"
"17","A","Esp","yes","-0.41","-0.64"
"18","H","Atl","yes","0.20","-0.44"
"19","A","Ala","yes","-0.00","-0.44"
"20","H","RSo","yes","-0.14","-0.59"
"21","A","Get","yes","0.33","-0.26"
"22","A","Eib","yes","0.07","-0.19"
"23","H","Bar","yes","0.41","0.22"
"24","A","Leg","yes","-0.11","0.11"
"25","H","Mal","yes","-0.68","-0.58"
"26","A","Val","yes","0.30","-0.27"
"27","H","RMa","yes","0.55","0.28"
"28","A","Sev","yes","0.56","0.83"
"29","H","Gra","yes","-0.17","0.66"
"30","A","Bil","yes","0.27","0.93"
"31","H","Esp","yes","-0.86","0.07"
"32","A","Lev","yes","0.18","0.24"
"33","H","Vil","yes","-0.07","0.18"
"34","A","Cel","yes","-0.06","0.12"
"35","H","Osa","yes","-0.20","-0.08"
"36","A","Atl","yes","0.58","0.50"
"37","H","Ala","yes","-0.52","-0.02"
"38","A","RVd","no","0.02","-0.00"
