"","HA","vs","played","sched","cumulative"
"1","H","Get","yes","0.05","0.05"
"2","A","Leg","yes","-0.18","-0.13"
"3","H","Eib","yes","-0.32","-0.45"
"4","A","RSo","yes","0.31","-0.14"
"5","H","Cel","yes","-0.38","-0.53"
"6","A","Mal","yes","-0.15","-0.67"
"7","H","RMa","yes","0.35","-0.32"
"8","A","RVd","yes","0.03","-0.29"
"9","H","Val","yes","-0.06","-0.35"
"10","H","Bil","yes","-0.22","-0.57"
"11","A","Ala","yes","0.02","-0.54"
"12","A","Sev","yes","0.36","-0.19"
"13","H","Esp","yes","-0.43","-0.61"
"14","A","Gra","yes","0.20","-0.41"
"15","H","Bar","yes","0.32","-0.09"
"16","A","Vil","yes","0.29","0.20"
"17","H","Osa","yes","-0.20","-0.00"
"18","A","Bet","yes","0.10","0.09"
"19","H","Lev","yes","-0.24","-0.14"
"20","A","Eib","yes","-0.01","-0.16"
"21","H","Leg","yes","-0.43","-0.58"
"22","A","RMa","yes","0.67","0.08"
"23","H","Gra","yes","-0.16","-0.08"
"24","A","Val","yes","0.32","0.24"
"25","H","Vil","no","-0.09","0.16"
"26","A","Esp","no","-0.17","-0.02"
"27","H","Sev","no","-0.02","-0.04"
"28","A","Bil","no","0.13","0.09"
"29","A","Osa","no","0.15","0.24"
"30","H","RVd","no","-0.29","-0.05"
"31","A","Lev","no","0.10","0.05"
"32","H","Ala","no","-0.30","-0.24"
"33","A","Bar","no","0.64","0.40"
"34","H","Mal","no","-0.41","-0.01"
"35","A","Cel","no","-0.11","-0.11"
"36","H","Bet","no","-0.24","-0.35"
"37","A","Get","no","0.42","0.07"
"38","H","RSo","no","-0.07","0.00"
