"","HA","vs","played","sched","cumulative"
"1","A","Mal","yes","-0.15","-0.15"
"2","A","Osa","yes","0.24","0.09"
"3","A","Atl","yes","0.56","0.66"
"4","H","Esp","yes","-0.87","-0.21"
"5","A","Lev","yes","0.14","-0.08"
"6","H","Sev","yes","0.16","0.08"
"7","H","Cel","yes","-0.54","-0.45"
"8","A","Bet","yes","0.10","-0.36"
"9","H","Bar","yes","0.47","0.11"
"10","A","RVd","yes","0.05","0.16"
"11","H","Vil","yes","-0.01","0.15"
"12","A","Leg","yes","-0.18","-0.03"
"13","H","RMa","yes","0.52","0.49"
"14","H","Ala","yes","-0.57","-0.08"
"15","A","RSo","yes","0.31","0.23"
"16","H","Get","yes","-0.10","0.12"
"17","A","Bil","yes","0.31","0.44"
"18","H","Gra","yes","-0.18","0.26"
"19","A","Val","yes","0.29","0.55"
"20","H","Atl","yes","0.17","0.72"
"21","A","Cel","yes","-0.02","0.70"
"22","H","Bet","yes","-0.42","0.28"
"23","A","Ala","yes","-0.06","0.22"
"24","A","Bar","yes","0.74","0.96"
"25","H","Lev","yes","-0.38","0.58"
"26","H","Mal","yes","-0.66","-0.07"
"27","H","RSo","yes","-0.18","-0.25"
"28","A","RMa","yes","0.77","0.52"
"29","H","Bil","yes","-0.17","0.34"
"30","A","Get","yes","0.37","0.71"
"31","H","Val","yes","-0.20","0.51"
"32","A","Gra","yes","0.31","0.82"
"33","H","Osa","yes","-0.26","0.56"
"34","A","Sev","yes","0.56","1.12"
"35","H","Leg","yes","-0.68","0.43"
"36","A","Esp","yes","-0.40","0.03"
"37","H","RVd","no","-0.47","-0.44"
"38","A","Vil","no","0.44","-0.00"
