"","HA","vs","played","sched","cumulative"
"1","H","Sev","yes","0.12","0.12"
"2","A","Ala","yes","0.11","0.23"
"3","H","Gra","yes","-0.18","0.05"
"4","A","Eib","yes","0.06","0.11"
"5","H","RSo","yes","0.04","0.15"
"6","A","Cel","yes","-0.09","0.06"
"7","H","RVd","yes","-0.53","-0.47"
"8","A","Mal","yes","-0.24","-0.72"
"9","H","Vil","yes","-0.11","-0.83"
"10","A","Lev","yes","0.22","-0.61"
"11","A","Bil","yes","0.17","-0.44"
"12","H","Val","yes","-0.02","-0.46"
"13","A","Atl","yes","0.54","0.08"
"14","H","Get","yes","0.08","0.16"
"15","H","Osa","yes","-0.39","-0.23"
"16","A","RMa","yes","0.73","0.50"
"17","H","Bet","yes","-0.50","-0.00"
"18","A","Leg","yes","-0.39","-0.39"
"19","H","Bar","yes","0.50","0.11"
"20","A","Vil","yes","0.39","0.50"
"21","H","Bil","yes","-0.42","0.08"
"22","A","Gra","yes","0.35","0.43"
"23","H","Mal","yes","-0.91","-0.49"
"24","A","Sev","yes","0.54","0.06"
"25","A","RVd","yes","0.09","0.15"
"26","H","Atl","no","0.12","0.26"
"27","A","Osa","no","0.20","0.46"
"28","H","Ala","no","-0.51","-0.05"
"29","A","Get","no","0.52","0.47"
"30","H","Lev","no","-0.37","0.10"
"31","A","Bet","no","0.11","0.22"
"32","H","RMa","no","0.46","0.68"
"33","A","RSo","no","0.49","1.17"
"34","H","Leg","no","-1.06","0.11"
"35","A","Bar","no","0.75","0.86"
"36","H","Eib","no","-0.56","0.30"
"37","A","Val","no","0.45","0.75"
"38","H","Cel","no","-0.75","0.00"
