"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Pal","yes",0,"1.00","0.10","0.10"
"2","H","Tot","yes",0,"1.24","-0.12","-0.02"
"3","A","Bur","yes",3,"1.09","0.02","-0.00"
"4","H","WBA","yes",3,"2.12","-0.91","-0.91"
"5","A","Che","yes",1,"0.61","0.45","-0.46"
"6","H","Eve","yes",3,"0.83","0.25","-0.20"
"7","A","Ast","yes",3,"0.91","0.17","-0.03"
"8","H","New","yes",3,"1.80","-0.63","-0.66"
"9","A","Wol","yes",1,"0.83","0.25","-0.41"
"10","H","MnU","yes",0,"0.54","0.51","0.10"
"11","A","BHA","yes",3,"1.43","-0.30","-0.20"
"12","H","ShU","yes",3,"2.60","-1.35","-1.55"
"13","A","Ars","yes",1,"0.81","0.27","-1.28"
"14","H","MnC","yes",0,"0.39","0.65","-0.63"
"15","A","Ful","yes",1,"1.70","-0.54","-1.17"
"16","H","WHU","yes",1,"1.19","-0.07","-1.24"
"17","H","Liv","yes",3,"1.05","0.05","-1.19"
"18","A","Lei","yes",0,"0.71","0.36","-0.84"
"19","H","Ars","yes",0,"1.24","-0.12","-0.96"
"20","H","Ast","yes",0,"1.24","-0.12","-1.07"
"21","A","MnU","yes",0,"0.51","0.54","-0.54"
"22","A","New","yes",0,"0.90","0.19","-0.35"
"23","H","Wol","yes",0,"1.55","-0.40","-0.74"
"24","H","Che","yes",1,"1.09","0.02","-0.73"
"25","A","Lee","yes",0,"0.84","0.24","-0.48"
"26","A","Eve","yes",0,"0.94","0.15","-0.34"
"27","A","ShU","yes",3,"1.55","-0.40","-0.74"
"28","A","MnC","yes",0,"0.31","0.72","-0.02"
"29","H","BHA","yes",0,"1.41","-0.27","-0.29"
"30","H","Bur","yes",3,"1.71","-0.54","-0.84"
"31","A","WBA","yes",0,"1.32","-0.20","-1.03"
"32","A","Tot","yes",0,"0.53","0.52","-0.51"
"33","H","Lei","no",NA,"0.68","0.39","-0.13"
"34","A","Liv","no",NA,"0.58","0.47","0.35"
"35","H","Ful","no",NA,"1.68","-0.52","-0.17"
"36","H","Lee","no",NA,"1.18","-0.07","-0.24"
"37","A","WHU","no",NA,"0.43","0.61","0.38"
"38","H","Pal","no",NA,"1.52","-0.38","0.00"
