"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Sot","yes",3,"1.66","-0.39","-0.39"
"2","A","MnU","yes",3,"0.77","0.35","-0.03"
"3","H","Eve","yes",0,"0.69","0.42","0.39"
"4","A","Che","yes",0,"0.85","0.29","0.68"
"5","H","BHA","yes",1,"1.23","-0.03","0.65"
"6","A","Ful","yes",3,"2.06","-0.72","-0.07"
"7","A","Wol","yes",0,"1.18","0.01","-0.05"
"8","H","Lee","yes",3,"1.01","0.16","0.11"
"9","A","Bur","yes",0,"1.47","-0.23","-0.12"
"10","H","New","yes",0,"1.62","-0.36","-0.48"
"11","A","WBA","yes",3,"1.71","-0.43","-0.90"
"12","H","Tot","yes",1,"1.06","0.11","-0.79"
"13","A","WHU","yes",1,"0.66","0.45","-0.34"
"14","H","Liv","yes",0,"0.89","0.26","-0.08"
"15","A","Ast","yes",0,"1.25","-0.04","-0.13"
"16","H","Lei","yes",1,"0.56","0.53","0.40"
"17","H","ShU","yes",3,"2.52","-1.11","-0.70"
"18","A","Ars","yes",1,"1.15","0.04","-0.67"
"19","A","MnC","yes",0,"0.48","0.59","-0.07"
"20","H","WHU","yes",0,"1.02","0.15","0.08"
"21","H","Wol","yes",3,"1.36","-0.14","-0.06"
"22","A","New","yes",3,"1.25","-0.05","-0.11"
"23","A","Lee","yes",0,"1.19","0.01","-0.10"
"24","H","Bur","yes",0,"1.53","-0.28","-0.38"
"25","A","BHA","yes",3,"1.81","-0.52","-0.89"
"26","H","Ful","yes",1,"1.51","-0.26","-1.15"
"27","H","MnU","yes",1,"0.45","0.63","-0.52"
"28","A","Tot","yes",0,"0.84","0.30","-0.23"
"29","H","WBA","yes",3,"1.96","-0.64","-0.87"
"30","A","Eve","yes",1,"1.31","-0.10","-0.96"
"31","H","Che","yes",0,"0.93","0.22","-0.74"
"32","A","Lei","no",NA,"1.03","0.14","-0.60"
"33","H","MnC","no",NA,"0.34","0.72","0.11"
"34","A","ShU","no",NA,"1.92","-0.60","-0.49"
"35","H","Ast","no",NA,"1.06","0.11","-0.38"
"36","H","Ars","no",NA,"1.07","0.11","-0.27"
"37","A","Liv","no",NA,"0.87","0.27","0.00"
"38","A","Sot","no",NA,"1.20","-0.00","-0.00"
