"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Wol","yes",3,2,"2.48","-0.09","-0.09"
"2","H","Lei","yes",0,-3,"1.41","0.38","0.29"
"3","A","Lee","yes",1,0,"2.40","-0.05","0.24"
"4","H","Ars","yes",3,1,"1.87","0.18","0.42"
"5","A","WHU","yes",1,0,"2.21","0.03","0.45"
"6","A","ShU","yes",3,1,"2.73","-0.20","0.25"
"7","H","Liv","yes",1,0,"1.86","0.19","0.43"
"8","A","Tot","yes",0,-2,"2.18","0.04","0.48"
"9","H","Bur","yes",3,5,"2.25","0.01","0.49"
"10","H","Ful","yes",3,2,"2.39","-0.05","0.44"
"11","A","MnU","yes",1,0,"2.23","0.02","0.46"
"12","H","WBA","yes",1,0,"2.63","-0.15","0.31"
"13","A","Sot","yes",3,1,"2.41","-0.06","0.25"
"14","H","New","yes",3,2,"2.33","-0.02","0.23"
"15","A","Che","yes",3,2,"2.32","-0.02","0.21"
"16","H","BHA","yes",3,1,"2.32","-0.02","0.19"
"17","H","Pal","yes",3,4,"2.30","-0.01","0.18"
"18","H","Ast","yes",3,2,"1.96","0.14","0.33"
"19","A","WBA","yes",3,5,"2.70","-0.18","0.14"
"20","H","ShU","yes",3,1,"2.84","-0.24","-0.10"
"21","A","Bur","yes",3,2,"2.64","-0.16","-0.26"
"22","A","Liv","yes",3,3,"2.27","0.00","-0.25"
"23","H","Tot","yes",3,3,"2.11","0.08","-0.18"
"24","A","Eve","yes",3,2,"2.58","-0.13","-0.31"
"25","A","Ars","yes",3,1,"2.46","-0.08","-0.39"
"26","H","WHU","yes",3,1,"1.93","0.15","-0.24"
"27","H","Wol","yes",3,3,"2.30","-0.01","-0.25"
"28","H","MnU","yes",0,-2,"1.26","0.45","0.20"
"29","H","Sot","yes",3,3,"2.49","-0.09","0.11"
"30","A","Ful","yes",3,3,"2.81","-0.23","-0.13"
"31","A","Lei","yes",3,2,"2.38","-0.05","-0.17"
"32","H","Lee","yes",0,-1,"2.10","0.08","-0.10"
"33","A","Ast","yes",3,1,"2.59","-0.13","-0.23"
"34","A","Pal","yes",3,2,"2.59","-0.13","-0.36"
"35","H","Che","yes",0,-1,"1.65","0.28","-0.09"
"36","A","New","no",NA,NA,"2.56","-0.12","-0.21"
"37","A","BHA","no",NA,NA,"2.68","-0.17","-0.38"
"38","H","Eve","no",NA,NA,"1.40","0.38","0.00"
