"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Eve","yes",0,"1.21","0.25","0.25"
"2","A","Sot","yes",3,"1.50","0.07","0.32"
"3","H","New","yes",1,"2.16","-0.34","-0.02"
"4","A","MnU","yes",3,"1.03","0.36","0.34"
"5","H","WHU","yes",1,"1.60","0.01","0.35"
"6","A","Bur","yes",3,"1.77","-0.10","0.25"
"7","H","BHA","yes",3,"1.83","-0.13","0.12"
"8","A","WBA","yes",3,"1.99","-0.23","-0.12"
"9","H","MnC","yes",3,"0.66","0.59","0.47"
"10","A","Che","yes",1,"1.12","0.31","0.78"
"11","H","Ars","yes",3,"1.66","-0.03","0.75"
"12","A","Pal","yes",1,"1.67","-0.04","0.72"
"13","A","Liv","yes",0,"1.14","0.29","1.01"
"14","H","Lei","yes",0,"1.03","0.36","1.37"
"15","A","Wol","yes",1,"1.48","0.08","1.45"
"16","H","Lee","yes",3,"1.60","0.01","1.47"
"17","H","Ful","yes",1,"2.07","-0.28","1.18"
"18","A","ShU","yes",3,"2.17","-0.35","0.84"
"19","H","Liv","yes",0,"1.41","0.13","0.96"
"20","A","BHA","yes",0,"2.08","-0.29","0.67"
"21","H","Che","yes",0,"1.51","0.07","0.74"
"22","H","WBA","yes",3,"2.41","-0.49","0.25"
"23","A","MnC","yes",0,"0.67","0.58","0.83"
"24","A","WHU","yes",0,"0.89","0.45","1.28"
"25","H","Bur","yes",3,"2.09","-0.29","0.99"
"26","A","Ful","yes",3,"2.29","-0.42","0.57"
"27","H","Pal","yes",3,"1.93","-0.19","0.38"
"28","A","Ars","yes",0,"1.45","0.10","0.48"
"29","A","Ast","yes",3,"1.55","0.04","0.52"
"30","A","New","yes",1,"1.56","0.04","0.55"
"31","H","MnU","yes",0,"0.84","0.48","1.03"
"32","A","Eve","yes",1,"1.62","-0.00","1.03"
"33","H","Sot","no",NA,"2.19","-0.36","0.67"
"34","H","ShU","no",NA,"2.74","-0.70","-0.03"
"35","A","Lee","no",NA,"1.49","0.08","0.05"
"36","H","Wol","no",NA,"1.95","-0.21","-0.16"
"37","H","Ast","no",NA,"1.65","-0.02","-0.18"
"38","A","Lei","no",NA,"1.32","0.18","-0.00"
