"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Liv","yes",0,"1.20","0.18","0.18"
"2","H","Ful","yes",3,"1.70","-0.17","0.01"
"3","A","ShU","yes",3,"2.22","-0.52","-0.51"
"4","H","MnC","yes",1,"0.43","0.71","0.19"
"5","H","Wol","yes",0,"1.56","-0.07","0.12"
"6","A","Ast","yes",3,"1.61","-0.10","0.02"
"7","H","Lei","yes",0,"0.69","0.53","0.54"
"8","A","Pal","yes",0,"1.73","-0.19","0.36"
"9","H","Ars","yes",1,"1.27","0.13","0.49"
"10","A","Eve","yes",3,"1.68","-0.15","0.34"
"11","A","Che","yes",0,"1.18","0.19","0.54"
"12","H","WHU","yes",0,"1.20","0.18","0.71"
"13","H","New","yes",3,"1.82","-0.24","0.47"
"14","A","MnU","yes",0,"1.16","0.21","0.68"
"15","H","Bur","yes",3,"1.68","-0.15","0.53"
"16","A","WBA","yes",3,"2.04","-0.40","0.13"
"17","A","Tot","yes",0,"1.17","0.20","0.33"
"18","H","BHA","yes",0,"1.44","0.02","0.34"
"19","A","New","yes",3,"1.62","-0.11","0.23"
"20","A","Lei","yes",3,"1.39","0.05","0.28"
"21","H","Eve","yes",0,"0.85","0.42","0.70"
"22","H","Pal","yes",3,"1.54","-0.05","0.65"
"23","A","Ars","yes",0,"1.46","-0.00","0.65"
"24","A","Wol","yes",0,"1.55","-0.06","0.59"
"25","H","Sot","yes",3,"1.85","-0.27","0.32"
"26","H","Ast","yes",0,"1.25","0.14","0.46"
"27","A","WHU","yes",0,"0.94","0.35","0.82"
"28","H","Che","yes",1,"1.11","0.24","1.06"
"29","A","Ful","yes",3,"2.33","-0.60","0.46"
"30","H","ShU","yes",3,"2.61","-0.79","-0.33"
"31","A","MnC","yes",3,"0.72","0.51","0.18"
"32","H","Liv","no",NA,"1.02","0.30","0.49"
"33","H","MnU","no",NA,"0.55","0.62","1.11"
"34","A","BHA","no",NA,"2.13","-0.46","0.65"
"35","H","Tot","no",NA,"1.25","0.14","0.79"
"36","A","Bur","no",NA,"1.83","-0.25","0.53"
"37","A","Sot","no",NA,"1.56","-0.07","0.46"
"38","H","WBA","no",NA,"2.13","-0.46","-0.00"
