"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","WBA","yes",3,"2.47","-0.34","-0.34"
"2","H","Bur","yes",3,"1.93","-0.05","-0.39"
"3","A","MnC","yes",3,"1.26","0.32","-0.07"
"4","H","WHU","yes",0,"1.42","0.23","0.15"
"5","H","Ast","yes",0,"1.47","0.20","0.35"
"6","A","Ars","yes",3,"2.09","-0.14","0.22"
"7","A","Lee","yes",3,"2.12","-0.15","0.07"
"8","H","Wol","yes",3,"1.78","0.03","0.10"
"9","A","Liv","yes",0,"1.81","0.02","0.12"
"10","H","Ful","yes",0,"1.91","-0.04","0.08"
"11","A","ShU","yes",3,"2.58","-0.40","-0.32"
"12","H","BHA","yes",3,"1.65","0.10","-0.22"
"13","H","Eve","yes",0,"1.03","0.44","0.22"
"14","A","Tot","yes",3,"1.72","0.06","0.28"
"15","H","MnU","yes",1,"0.70","0.62","0.90"
"16","A","Pal","yes",1,"2.26","-0.23","0.68"
"17","A","New","yes",3,"2.17","-0.18","0.50"
"18","H","Sot","yes",3,"2.08","-0.13","0.37"
"19","H","Che","yes",3,"1.32","0.28","0.65"
"20","A","Eve","yes",1,"2.22","-0.20","0.45"
"21","H","Lee","yes",0,"1.41","0.23","0.68"
"22","A","Ful","yes",3,"2.64","-0.43","0.24"
"23","A","Wol","yes",1,"2.11","-0.15","0.10"
"24","H","Liv","yes",3,"1.28","0.30","0.40"
"25","A","Ast","yes",3,"2.19","-0.19","0.21"
"26","H","Ars","yes",0,"1.48","0.20","0.41"
"27","A","Bur","yes",1,"2.32","-0.26","0.15"
"28","A","BHA","yes",3,"2.52","-0.37","-0.23"
"29","H","ShU","yes",3,"2.69","-0.46","-0.69"
"30","H","MnC","yes",0,"0.51","0.72","0.03"
"31","A","WHU","yes",0,"1.54","0.16","0.20"
"32","H","WBA","yes",3,"2.32","-0.26","-0.06"
"33","H","Pal","no",NA,"1.76","0.04","-0.02"
"34","A","Sot","no",NA,"2.13","-0.16","-0.18"
"35","H","New","no",NA,"2.02","-0.10","-0.27"
"36","A","MnU","no",NA,"1.70","0.08","-0.19"
"37","A","Che","no",NA,"1.84","-0.00","-0.20"
"38","H","Tot","no",NA,"1.48","0.20","-0.00"
