"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Ajx","yes",0,"0.18","0.84","0.84"
"2","A","Vit","yes",0,"0.51","0.56","1.40"
"3","A","Zwo","yes",0,"1.19","-0.04","1.36"
"4","H","AZA","yes",1,"0.42","0.64","2.00"
"5","A","Fey","yes",1,"0.70","0.39","2.38"
"6","H","Her","yes",1,"1.19","-0.03","2.35"
"7","H","Hee","yes",0,"1.33","-0.15","2.20"
"8","A","RKC","yes",3,"1.68","-0.46","1.73"
"9","H","ADO","yes",3,"1.62","-0.41","1.32"
"10","A","PSV","yes",0,"0.26","0.77","2.09"
"11","H","Emm","yes",3,"1.61","-0.40","1.69"
"12","A","WII","yes",3,"1.68","-0.46","1.23"
"13","H","Gro","yes",0,"0.88","0.24","1.47"
"14","A","Twe","yes",3,"1.73","-0.51","0.96"
"15","H","Fey","yes",0,"0.62","0.46","1.43"
"16","A","Sit","yes",3,"1.87","-0.63","0.80"
"17","H","PSV","yes",0,"0.61","0.47","1.27"
"18","A","Utr","yes",0,"1.29","-0.12","1.15"
"19","H","Twe","yes",1,"0.65","0.43","1.58"
"20","A","ADO","yes",1,"2.36","-1.05","0.53"
"21","H","Sit","yes",0,"0.75","0.35","0.88"
"22","A","Ajx","yes",0,"0.26","0.78","1.65"
"23","H","WII","yes",0,"1.82","-0.59","1.07"
"24","A","Emm","yes",1,"2.01","-0.74","0.32"
"25","A","VVV","yes",3,"1.83","-0.59","-0.27"
"26","H","RKC","yes",3,"1.62","-0.41","-0.68"
"27","A","Her","yes",1,"1.04","0.10","-0.58"
"28","H","Zwo","yes",3,"1.71","-0.49","-1.07"
"29","A","AZA","yes",0,"0.60","0.48","-0.58"
"30","H","VVV","no",NA,"1.69","-0.47","-1.05"
"31","A","Gro","no",NA,"0.98","0.14","-0.91"
"32","H","Vit","no",NA,"0.73","0.37","-0.54"
"33","H","Utr","no",NA,"0.62","0.46","-0.09"
"34","A","Hee","no",NA,"1.05","0.09","0.00"
