"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","ADO","yes",3,"2.21","-0.62","-0.62"
"2","A","WII","yes",0,"1.36","-0.00","-0.63"
"3","H","PSV","yes",1,"1.18","0.14","-0.49"
"4","A","Vit","yes",0,"0.40","0.71","0.22"
"5","H","RKC","yes",0,"2.28","-0.68","-0.46"
"6","A","Spa","yes",1,"1.45","-0.07","-0.53"
"7","H","Utr","yes",3,"1.15","0.16","-0.37"
"8","A","VVV","yes",0,"1.62","-0.19","-0.56"
"9","A","Ajx","yes",0,"0.26","0.81","0.25"
"10","H","AZA","yes",0,"0.85","0.37","0.62"
"11","A","Fey","yes",1,"0.56","0.59","1.21"
"12","H","Sit","yes",0,"1.37","-0.00","1.20"
"13","A","Hee","yes",3,"0.87","0.36","1.56"
"14","A","Gro","yes",3,"0.81","0.41","1.97"
"15","H","Vit","yes",0,"1.33","0.02","1.99"
"16","H","Emm","yes",3,"2.20","-0.62","1.37"
"17","A","Utr","yes",0,"1.09","0.20","1.57"
"18","H","Hee","yes",3,"1.98","-0.45","1.12"
"19","A","Zwo","yes",1,"1.00","0.26","1.38"
"20","H","Gro","yes",3,"1.52","-0.12","1.26"
"21","A","Sit","yes",3,"1.67","-0.23","1.03"
"22","H","Ajx","yes",0,"0.40","0.71","1.74"
"23","A","RKC","yes",0,"1.47","-0.08","1.66"
"24","H","Twe","yes",1,"1.23","0.10","1.75"
"25","H","Zwo","yes",3,"2.28","-0.67","1.08"
"26","A","ADO","yes",3,"2.22","-0.63","0.45"
"27","H","Spa","yes",1,"1.66","-0.22","0.23"
"28","A","PSV","yes",0,"0.21","0.85","1.08"
"29","H","WII","yes",3,"2.36","-0.73","0.34"
"30","A","Emm","no",NA,"1.82","-0.34","0.00"
"31","H","VVV","no",NA,"2.26","-0.66","-0.66"
"32","A","Twe","no",NA,"1.53","-0.13","-0.79"
"33","H","Fey","no",NA,"1.18","0.13","-0.65"
"34","A","AZA","no",NA,"0.47","0.65","-0.00"
