"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Spa","yes",3,"2.71","-0.09","-0.09"
"2","H","RKC","yes",3,"2.78","-0.12","-0.20"
"3","H","Vit","yes",3,"2.35","0.06","-0.15"
"4","A","Gro","yes",0,"2.42","0.03","-0.12"
"5","H","Hee","yes",3,"2.66","-0.07","-0.19"
"6","A","VVV","yes",3,"2.75","-0.11","-0.30"
"7","H","Sit","yes",3,"2.37","0.05","-0.25"
"8","A","Utr","yes",3,"2.58","-0.04","-0.28"
"9","H","Her","yes",3,"2.61","-0.05","-0.33"
"10","A","Emm","yes",3,"2.80","-0.13","-0.46"
"11","H","Twe","yes",0,"2.28","0.08","-0.38"
"12","H","Zwo","yes",3,"2.72","-0.09","-0.47"
"13","A","ADO","yes",3,"2.88","-0.16","-0.63"
"14","A","WII","yes",1,"2.68","-0.08","-0.70"
"15","H","PSV","yes",1,"2.24","0.10","-0.60"
"16","A","Twe","yes",3,"2.73","-0.10","-0.70"
"17","H","Fey","yes",3,"2.24","0.10","-0.60"
"18","A","Sit","yes",3,"2.77","-0.11","-0.72"
"19","H","WII","yes",3,"2.80","-0.13","-0.84"
"20","A","AZA","yes",3,"2.06","0.17","-0.67"
"21","A","Her","yes",3,"2.45","0.02","-0.65"
"22","H","Spa","yes",3,"2.52","-0.01","-0.67"
"23","A","PSV","yes",1,"1.38","0.44","-0.22"
"24","H","Gro","yes",3,"2.46","0.01","-0.21"
"25","A","Zwo","yes",3,"2.54","-0.02","-0.23"
"26","H","ADO","yes",3,"2.75","-0.11","-0.34"
"27","A","Hee","yes",3,"2.54","-0.02","-0.36"
"28","A","RKC","yes",3,"2.71","-0.09","-0.45"
"29","H","Utr","yes",1,"2.21","0.11","-0.34"
"30","H","AZA","no",NA,"1.96","0.21","-0.13"
"31","H","Emm","no",NA,"2.75","-0.10","-0.23"
"32","A","Fey","no",NA,"2.18","0.12","-0.11"
"33","H","VVV","no",NA,"2.77","-0.11","-0.22"
"34","A","Vit","no",NA,"1.94","0.22","0.00"
