"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Zwo","yes",1,"2.50","-0.21","-0.21"
"2","A","Sit","yes",1,"2.51","-0.21","-0.42"
"3","A","Spa","yes",1,"2.33","-0.13","-0.54"
"4","H","VVV","yes",1,"2.62","-0.27","-0.81"
"5","A","ADO","yes",1,"2.75","-0.32","-1.13"
"6","H","RKC","yes",3,"2.60","-0.25","-1.39"
"7","A","Hee","yes",3,"2.08","-0.00","-1.39"
"8","H","Emm","yes",3,"2.56","-0.23","-1.63"
"9","A","Her","yes",3,"1.91","0.08","-1.55"
"10","H","Gro","yes",0,"2.11","-0.02","-1.56"
"11","A","Twe","yes",3,"2.44","-0.17","-1.74"
"12","H","WII","yes",3,"2.65","-0.28","-2.02"
"13","H","Vit","yes",3,"1.93","0.07","-1.94"
"14","A","Utr","yes",1,"2.14","-0.03","-1.98"
"15","A","Zwo","yes",1,"2.07","-0.00","-1.98"
"16","A","PSV","yes",3,"0.68","0.67","-1.31"
"17","H","ADO","yes",3,"2.56","-0.23","-1.54"
"18","A","Fey","yes",3,"1.53","0.26","-1.28"
"19","H","Utr","yes",0,"1.73","0.16","-1.11"
"20","H","Ajx","yes",0,"0.77","0.63","-0.48"
"21","A","Emm","yes",3,"2.49","-0.20","-0.68"
"22","H","Hee","yes",3,"2.41","-0.16","-0.85"
"23","A","VVV","yes",3,"2.48","-0.20","-1.05"
"24","H","Fey","yes",3,"1.78","0.14","-0.90"
"25","A","Vit","yes",0,"1.23","0.41","-0.49"
"26","H","Twe","yes",3,"1.83","0.12","-0.37"
"27","H","PSV","yes",3,"1.77","0.14","-0.23"
"28","A","WII","yes",3,"2.34","-0.13","-0.36"
"29","H","Spa","yes",3,"2.19","-0.05","-0.41"
"30","A","Ajx","no",NA,"0.88","0.58","0.16"
"31","A","RKC","no",NA,"2.41","-0.16","0.00"
"32","H","Sit","no",NA,"1.95","0.06","0.06"
"33","A","Gro","no",NA,"1.87","0.10","0.16"
"34","H","Her","no",NA,"2.41","-0.16","-0.00"
