"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Sit","yes",3,"0.69","0.47","0.47"
"2","A","Fey","yes",1,"1.09","0.17","0.64"
"3","H","Gro","yes",3,"0.83","0.37","1.01"
"4","H","Emm","yes",1,"1.52","-0.16","0.85"
"5","A","WII","yes",3,"2.00","-0.53","0.32"
"6","A","Utr","yes",0,"1.75","-0.34","-0.02"
"7","H","Zwo","yes",3,"1.41","-0.08","-0.09"
"8","A","ADO","yes",3,"2.60","-0.98","-1.08"
"9","H","PSV","yes",1,"0.57","0.57","-0.51"
"10","H","RKC","yes",0,"1.63","-0.24","-0.75"
"11","A","Ajx","yes",3,"0.56","0.58","-0.18"
"12","H","AZA","yes",0,"0.38","0.71","0.54"
"13","A","VVV","yes",3,"2.20","-0.68","-0.15"
"14","H","Spa","yes",0,"0.92","0.30","0.15"
"15","A","Emm","yes",3,"2.35","-0.79","-0.65"
"16","H","Ajx","yes",0,"0.17","0.87","0.23"
"17","A","Gro","yes",1,"1.43","-0.09","0.13"
"18","H","VVV","yes",0,"1.69","-0.29","-0.15"
"19","A","Spa","yes",1,"2.00","-0.52","-0.68"
"20","H","Hee","yes",1,"1.23","0.06","-0.62"
"21","A","PSV","yes",0,"0.42","0.68","0.06"
"22","A","Vit","yes",3,"0.83","0.37","0.43"
"23","H","Fey","yes",1,"0.57","0.57","1.00"
"24","A","Her","yes",1,"1.48","-0.13","0.86"
"25","H","WII","yes",1,"1.74","-0.33","0.53"
"26","A","AZA","yes",0,"0.95","0.28","0.81"
"27","A","Hee","yes",1,"1.68","-0.28","0.53"
"28","H","Vit","yes",0,"0.67","0.49","1.01"
"29","A","Zwo","yes",0,"1.67","-0.27","0.74"
"30","H","Utr","no",NA,"0.54","0.59","1.33"
"31","A","Sit","no",NA,"2.25","-0.72","0.61"
"32","H","Her","no",NA,"1.10","0.16","0.77"
"33","A","RKC","no",NA,"2.09","-0.60","0.17"
"34","H","ADO","no",NA,"1.53","-0.17","-0.00"
