"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Vit","yes",0,"0.72","0.13","0.13"
"2","A","Ajx","yes",0,"0.13","0.84","0.97"
"3","A","Utr","yes",0,"0.62","0.26","1.23"
"4","A","Her","yes",3,"0.46","0.45","1.68"
"5","H","Zwo","yes",1,"1.48","-0.77","0.91"
"6","H","Fey","yes",1,"0.61","0.27","1.18"
"7","A","AZA","yes",0,"0.24","0.71","1.89"
"8","H","Spa","yes",0,"0.98","-0.18","1.71"
"9","H","Hee","yes",1,"1.30","-0.55","1.16"
"10","A","Twe","yes",3,"0.97","-0.16","1.00"
"11","H","VVV","yes",3,"1.75","-1.10","-0.10"
"12","A","Gro","yes",0,"0.43","0.48","0.38"
"13","H","PSV","yes",0,"0.61","0.27","0.65"
"14","A","Sit","yes",0,"1.10","-0.32","0.33"
"15","H","ADO","yes",0,"1.60","-0.91","-0.58"
"16","A","Hee","yes",1,"0.57","0.31","-0.26"
"17","H","WII","yes",1,"1.81","-1.17","-1.43"
"18","A","PSV","yes",0,"0.10","0.88","-0.55"
"19","H","Sit","yes",0,"0.74","0.11","-0.44"
"20","A","Vit","yes",1,"0.21","0.75","0.31"
"21","A","Zwo","yes",1,"0.57","0.32","0.63"
"22","H","Emm","yes",3,"1.58","-0.90","-0.26"
"23","H","Her","yes",3,"1.17","-0.40","-0.67"
"24","A","ADO","yes",1,"1.71","-1.04","-1.71"
"25","H","Utr","yes",0,"0.58","0.30","-1.41"
"26","A","Spa","yes",0,"0.82","0.02","-1.39"
"27","H","Gro","yes",3,"0.89","-0.06","-1.45"
"28","A","Emm","yes",0,"1.24","-0.49","-1.94"
"29","H","Ajx","yes",0,"0.18","0.78","-1.15"
"30","A","WII","yes",0,"0.82","0.01","-1.14"
"31","H","AZA","no",NA,"0.41","0.51","-0.63"
"32","A","VVV","no",NA,"1.04","-0.25","-0.88"
"33","H","Twe","no",NA,"0.64","0.23","-0.65"
"34","A","Fey","no",NA,"0.29","0.65","0.00"
