"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","PSV","yes",0,"1.24","0.20","0.20"
"2","A","ADO","yes",3,"2.44","-0.59","-0.39"
"3","A","Twe","yes",0,"1.87","-0.21","-0.60"
"4","H","Ajx","yes",3,"0.43","0.72","0.12"
"5","H","Utr","yes",1,"1.21","0.21","0.33"
"6","A","Sit","yes",3,"2.00","-0.30","0.03"
"7","H","VVV","yes",3,"2.31","-0.50","-0.46"
"8","A","Fey","yes",0,"0.81","0.47","0.01"
"9","H","Vit","yes",1,"1.40","0.09","0.10"
"10","H","WII","yes",3,"2.40","-0.55","-0.45"
"11","A","AZA","yes",3,"0.69","0.55","0.10"
"12","H","RKC","yes",3,"2.26","-0.47","-0.37"
"13","A","Spa","yes",3,"1.80","-0.17","-0.54"
"14","H","Her","yes",0,"1.91","-0.24","-0.78"
"15","A","Utr","yes",1,"1.44","0.07","-0.71"
"16","A","WII","yes",3,"1.82","-0.18","-0.89"
"17","H","Twe","yes",1,"1.30","0.16","-0.73"
"18","A","Vit","yes",0,"0.59","0.62","-0.11"
"19","H","ADO","yes",3,"2.26","-0.47","-0.58"
"20","A","Her","yes",0,"1.17","0.24","-0.34"
"21","H","Zwo","yes",3,"2.32","-0.51","-0.85"
"22","A","Hee","yes",1,"1.19","0.23","-0.62"
"23","H","Fey","yes",1,"1.24","0.19","-0.43"
"24","H","Sit","yes",3,"1.43","0.07","-0.35"
"25","A","Ajx","yes",0,"0.39","0.75","0.39"
"26","H","Emm","yes",1,"2.25","-0.46","-0.07"
"27","A","RKC","yes",0,"1.82","-0.18","-0.25"
"28","A","VVV","yes",3,"1.96","-0.27","-0.52"
"29","H","Hee","yes",0,"2.03","-0.32","-0.84"
"30","A","PSV","no",NA,"0.31","0.80","-0.04"
"31","H","Spa","no",NA,"1.73","-0.12","-0.16"
"32","A","Emm","no",NA,"2.12","-0.38","-0.54"
"33","H","AZA","no",NA,"0.91","0.41","-0.13"
"34","A","Zwo","no",NA,"1.34","0.13","0.00"
