"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","VVV","yes",1,"2.25","-0.46","-0.46"
"2","H","RKC","yes",3,"1.99","-0.29","-0.75"
"3","H","Hee","yes",1,"1.72","-0.12","-0.87"
"4","A","Gro","yes",1,"1.48","0.04","-0.83"
"5","H","Twe","yes",3,"0.97","0.37","-0.46"
"6","A","Her","yes",0,"1.54","0.00","-0.46"
"7","H","Ajx","yes",0,"0.29","0.81","0.35"
"8","A","Zwo","yes",1,"1.70","-0.11","0.25"
"9","A","Fey","yes",1,"1.14","0.26","0.51"
"10","H","ADO","yes",1,"1.99","-0.29","0.21"
"11","A","PSV","yes",0,"0.48","0.69","0.91"
"12","H","Sit","yes",1,"1.09","0.30","1.20"
"13","A","Emm","yes",3,"2.38","-0.55","0.66"
"14","H","AZA","yes",1,"0.65","0.58","1.24"
"15","H","Gro","yes",1,"1.25","0.19","1.43"
"16","A","Vit","yes",0,"0.86","0.44","1.87"
"17","H","Her","yes",3,"1.58","-0.03","1.84"
"18","H","Spa","yes",3,"1.39","0.10","1.94"
"19","A","AZA","yes",3,"0.99","0.36","2.30"
"20","H","Zwo","yes",1,"2.07","-0.34","1.95"
"21","H","VVV","yes",3,"2.05","-0.33","1.62"
"22","A","WII","yes",3,"2.13","-0.38","1.24"
"23","H","Emm","yes",0,"1.98","-0.29","0.95"
"24","A","RKC","yes",3,"2.14","-0.39","0.56"
"25","H","Vit","yes",0,"1.06","0.31","0.87"
"26","A","Sit","yes",3,"2.28","-0.48","0.39"
"27","A","ADO","yes",3,"2.62","-0.70","-0.31"
"28","H","Fey","yes",0,"0.92","0.40","0.09"
"29","A","Ajx","no",NA,"0.47","0.70","0.79"
"30","A","Twe","no",NA,"2.18","-0.41","0.38"
"31","H","WII","no",NA,"2.16","-0.40","-0.03"
"32","A","Hee","no",NA,"1.55","-0.01","-0.03"
"33","A","Spa","no",NA,"2.12","-0.37","-0.41"
"34","H","PSV","no",NA,"0.91","0.41","-0.00"
