"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Emm","yes",3,2,"1.03","-0.40","-0.40"
"2","H","Utr","yes",1,0,"0.48","0.35","-0.05"
"3","A","Hee","yes",0,-1,"0.56","0.24","0.19"
"4","H","ADO","yes",0,-1,"1.40","-0.90","-0.71"
"5","A","AZA","yes",1,0,"0.21","0.71","0.00"
"6","H","Ajx","yes",0,-13,"0.15","0.80","0.80"
"7","A","Gro","yes",0,-1,"0.48","0.35","1.14"
"8","H","Her","yes",3,1,"1.14","-0.56","0.59"
"9","A","WII","yes",0,-1,"0.79","-0.07","0.51"
"10","H","Zwo","yes",1,0,"1.28","-0.75","-0.24"
"11","A","RKC","yes",0,-1,"0.90","-0.22","-0.46"
"12","H","Fey","yes",0,-3,"0.61","0.17","-0.29"
"13","H","Twe","yes",0,-1,"0.62","0.15","-0.14"
"14","A","PSV","yes",0,-3,"0.13","0.83","0.69"
"15","H","WII","yes",3,1,"1.68","-1.28","-0.59"
"16","A","ADO","yes",3,3,"1.38","-0.87","-1.46"
"17","H","Hee","yes",1,0,"1.05","-0.42","-1.89"
"18","A","Twe","yes",3,1,"0.97","-0.32","-2.21"
"19","H","Vit","yes",3,3,"0.69","0.06","-2.14"
"20","A","Sit","yes",0,-1,"0.89","-0.21","-2.35"
"21","A","Utr","yes",0,-2,"0.56","0.24","-2.11"
"22","H","AZA","yes",0,-3,"0.34","0.54","-1.58"
"23","A","Vit","yes",0,-3,"0.19","0.74","-0.84"
"24","A","Fey","yes",0,-6,"0.30","0.59","-0.24"
"25","H","Spa","yes",0,-1,"0.71","0.03","-0.21"
"26","H","Sit","yes",0,-2,"0.63","0.14","-0.07"
"27","A","Zwo","yes",0,-1,"0.55","0.26","0.19"
"28","H","Gro","yes",0,-1,"0.73","0.01","0.20"
"29","H","PSV","yes",0,-2,"0.49","0.33","0.53"
"30","A","Spa","yes",0,-2,"0.68","0.07","0.60"
"31","A","Her","yes",0,-4,"0.41","0.44","1.05"
"32","H","RKC","no",NA,0,"1.47","-1.00","0.05"
"33","A","Ajx","no",NA,NA,"0.11","0.86","0.90"
"34","H","Emm","no",NA,NA,"1.40","-0.90","-0.00"
