,fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
1,511,Toulouse FC,Toulouse,Tou,NA,Toulouse,0
2,512,Stade Brestois 29,Brest,Bre,NA,Brest,0
3,516,Olympique de Marseille,Marseille,Mar,NA,Marseille,0
4,519,AJ Auxerre,Auxerre,Aux,NA,Auxerre,0
5,521,Lille OSC,Lille,Lil,NA,Lille,0
6,522,OGC Nice,Nice,Nic,NA,Nice,0
7,523,Olympique Lyonnais,Olympique Lyon,Lyo,NA,Olympique Lyonnais,0
8,524,Paris Saint-Germain FC,PSG,PSG,NA,Paris Saint-Germain,0
9,525,FC Lorient,Lorient,Lor,NA,Lorient,0
10,529,Stade Rennais FC 1901,Stade Rennais,Ren,NA,Rennes,0
11,532,Angers SCO,Angers SCO,Ang,NA,Angers SCO,0
12,533,Le Havre AC,Le Havre,Hav,NA,Le Havre,0
13,543,FC Nantes,Nantes,Nan,NA,Nantes,0
14,545,FC Metz,FC Metz,Met,NA,Metz,0
15,546,Racing Club de Lens,RC Lens,Len,NA,Lens,0
16,548,AS Monaco FC,Monaco,Mco,NA,Monaco,0
17,576,RC Strasbourg Alsace,Strasbourg,RCS,NA,Strasbourg,0
18,1045,Paris FC,Paris FC,Par,NA,Paris FC,0
