"team","teamId","playedGames","goalDifference","points","rank"
"Paris Saint-Germain FC",524,32,44,73,1
"Racing Club de Lens",546,32,29,67,2
"Lille OSC",521,33,17,61,3
"Olympique Lyonnais",523,33,17,60,4
"Stade Rennais FC 1901",529,33,11,59,5
"Olympique de Marseille",516,33,16,56,6
"AS Monaco FC",548,33,7,54,7
"RC Strasbourg Alsace",576,32,9,47,8
"FC Lorient",525,33,-1,45,9
"Toulouse FC",511,33,1,44,10
"Paris FC",1045,33,-4,41,11
"Stade Brestois 29",512,32,-11,38,12
"Angers SCO",532,33,-19,35,13
"Le Havre AC",533,33,-14,32,14
"AJ Auxerre",519,33,-12,31,15
"OGC Nice",522,33,-23,31,16
"FC Nantes",543,33,-23,23,17
"FC Metz",545,33,-44,16,18
