"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date","UTCtime","status"
1,"Stade Rennais FC 1901",529,"Olympique de Marseille",516,1,0,"H","2025-08-15","18:45:00","FINISHED"
1,"Racing Club de Lens",546,"Olympique Lyonnais",523,0,1,"A","2025-08-16","15:00:00","FINISHED"
1,"AS Monaco FC",548,"Le Havre AC",533,3,1,"H","2025-08-16","17:00:00","FINISHED"
1,"OGC Nice",522,"Toulouse FC",511,0,1,"A","2025-08-16","19:05:00","FINISHED"
1,"Stade Brestois 29",512,"Lille OSC",521,3,3,"D","2025-08-17","13:00:00","FINISHED"
1,"AJ Auxerre",519,"FC Lorient",525,1,0,"H","2025-08-17","15:15:00","FINISHED"
1,"FC Metz",545,"RC Strasbourg Alsace",576,0,1,"A","2025-08-17","15:15:00","FINISHED"
1,"Angers SCO",532,"Paris FC",1045,1,0,"H","2025-08-17","15:15:00","FINISHED"
1,"FC Nantes",543,"Paris Saint-Germain FC",524,0,1,"A","2025-08-17","18:45:00","FINISHED"
2,"Paris Saint-Germain FC",524,"Angers SCO",532,1,0,"H","2025-08-22","18:45:00","FINISHED"
2,"Olympique de Marseille",516,"Paris FC",1045,5,2,"H","2025-08-23","15:00:00","FINISHED"
2,"OGC Nice",522,"AJ Auxerre",519,3,1,"H","2025-08-23","17:00:00","FINISHED"
2,"Olympique Lyonnais",523,"FC Metz",545,3,0,"H","2025-08-23","19:05:00","FINISHED"
2,"FC Lorient",525,"Stade Rennais FC 1901",529,4,0,"H","2025-08-24","13:00:00","FINISHED"
2,"Le Havre AC",533,"Racing Club de Lens",546,1,2,"A","2025-08-24","15:15:00","FINISHED"
2,"Toulouse FC",511,"Stade Brestois 29",512,2,0,"H","2025-08-24","15:15:00","FINISHED"
2,"RC Strasbourg Alsace",576,"FC Nantes",543,1,0,"H","2025-08-24","15:15:00","FINISHED"
2,"Lille OSC",521,"AS Monaco FC",548,1,0,"H","2025-08-24","18:45:00","FINISHED"
3,"Racing Club de Lens",546,"Stade Brestois 29",512,3,1,"H","2025-08-29","18:45:00","FINISHED"
3,"FC Lorient",525,"Lille OSC",521,1,7,"A","2025-08-30","15:00:00","FINISHED"
3,"FC Nantes",543,"AJ Auxerre",519,1,0,"H","2025-08-30","17:00:00","FINISHED"
3,"Toulouse FC",511,"Paris Saint-Germain FC",524,3,6,"A","2025-08-30","19:05:00","FINISHED"
3,"Angers SCO",532,"Stade Rennais FC 1901",529,1,1,"D","2025-08-31","13:00:00","FINISHED"
3,"Le Havre AC",533,"OGC Nice",522,3,1,"H","2025-08-31","15:15:00","FINISHED"
3,"AS Monaco FC",548,"RC Strasbourg Alsace",576,3,2,"H","2025-08-31","15:15:00","FINISHED"
3,"Paris FC",1045,"FC Metz",545,3,2,"H","2025-08-31","15:15:00","FINISHED"
3,"Olympique Lyonnais",523,"Olympique de Marseille",516,1,0,"H","2025-08-31","18:45:00","FINISHED"
4,"Olympique de Marseille",516,"FC Lorient",525,4,0,"H","2025-09-12","18:45:00","FINISHED"
4,"OGC Nice",522,"FC Nantes",543,1,0,"H","2025-09-13","15:00:00","FINISHED"
4,"AJ Auxerre",519,"AS Monaco FC",548,1,2,"A","2025-09-13","19:05:00","FINISHED"
