"team","teamId","playedGames","goalDifference","points","rank"
"Liverpool FC",64,38,45,84,1
"Arsenal FC",57,38,35,74,2
"Manchester City FC",65,38,28,71,3
"Chelsea FC",61,38,21,69,4
"Newcastle United FC",67,38,21,66,5
"Aston Villa FC",58,38,7,66,6
"Nottingham Forest FC",351,38,12,65,7
"Brighton & Hove Albion FC",397,38,7,61,8
"AFC Bournemouth",1044,38,12,56,9
"Brentford FC",402,38,9,56,10
"Fulham FC",63,38,0,54,11
"Crystal Palace FC",354,38,0,53,12
"Everton FC",62,38,-2,48,13
"West Ham United FC",563,38,-16,43,14
"Manchester United FC",66,38,-10,42,15
"Wolverhampton Wanderers FC",76,38,-15,42,16
"Tottenham Hotspur FC",73,38,-1,38,17
"Leicester City FC",338,38,-47,25,18
"Ipswich Town FC",349,38,-46,22,19
"Southampton FC",340,38,-60,12,20
