"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Bie","yes",1,0,"2.19","-0.33","-0.33"
"2","H","Dor","yes",3,1,"1.59","0.03","-0.30"
"3","A","Stu","yes",3,1,"1.90","-0.16","-0.47"
"4","H","Kln","yes",1,0,"2.04","-0.25","-0.71"
"5","A","Mai","yes",1,0,"1.61","0.02","-0.69"
"6","H","Aug","yes",3,3,"2.19","-0.34","-1.03"
"7","A","Her","yes",3,1,"1.72","-0.05","-1.08"
"8","H","Lei","yes",1,0,"2.06","-0.26","-1.34"
"9","A","Wol","yes",3,2,"1.68","-0.02","-1.36"
"10","H","Fur","yes",3,2,"2.42","-0.48","-1.84"
"11","A","Mun","yes",0,-1,"0.97","0.41","-1.43"
"12","H","Fra","no",NA,NA,"1.54","0.06","-1.37"
"13","A","Boc","no",NA,NA,"1.39","0.15","-1.21"
"14","A","BMg","no",NA,NA,"1.14","0.30","-0.91"
"15","H","Hof","no",NA,NA,"1.97","-0.20","-1.11"
"16","A","UnB","no",NA,NA,"1.33","0.19","-0.92"
"17","H","Lev","no",NA,NA,"1.19","0.27","-0.65"
"18","H","Bie","no",NA,NA,"1.85","-0.13","-0.78"
"19","A","Dor","no",NA,NA,"0.53","0.68","-0.10"
"20","H","Stu","no",NA,NA,"1.99","-0.21","-0.32"
"21","A","Kln","no",NA,NA,"1.41","0.14","-0.18"
"22","H","Mai","no",NA,NA,"1.56","0.05","-0.13"
"23","A","Aug","no",NA,NA,"1.80","-0.10","-0.23"
"24","H","Her","no",NA,NA,"1.65","-0.01","-0.24"
"25","A","Lei","no",NA,NA,"0.91","0.45","0.21"
"26","H","Wol","no",NA,NA,"1.32","0.19","0.40"
"27","A","Fur","no",NA,NA,"2.34","-0.43","-0.03"
"28","H","Mun","no",NA,NA,"0.63","0.62","0.59"
"29","A","Fra","no",NA,NA,"2.22","-0.36","0.23"
"30","H","Boc","no",NA,NA,"2.05","-0.25","-0.02"
"31","H","BMg","no",NA,NA,"2.01","-0.23","-0.25"
"32","A","Hof","no",NA,NA,"1.30","0.20","-0.04"
"33","H","UnB","no",NA,NA,"1.51","0.08","0.04"
"34","A","Lev","no",NA,NA,"1.70","-0.04","0.00"
