"team","teamId","playedGames","goalDifference","points","rank"
"Sporting Clube de Portugal",498,34,61,82,1
"Sport Lisboa e Benfica",1903,34,56,80,2
"FC Porto",503,34,35,71,3
"Sporting Clube de Braga",5613,34,25,66,4
"CD Santa Clara",5530,34,4,57,5
"Vitória SC",5543,34,10,54,6
"FC Famalicão",5531,34,5,47,7
"GD Estoril Praia",582,34,-5,46,8
"Casa Pia AC",6618,34,-5,45,9
"Moreirense FC",583,34,-8,40,10
"Rio Ave FC",496,34,-16,38,11
"FC Arouca",712,34,-14,38,12
"Gil Vicente FC",5533,34,-13,34,13
"CD Nacional",5529,34,-18,34,14
"CF Estrela da Amadora",9136,34,-26,29,15
"AVS",10340,34,-35,27,16
"SC Farense",5602,34,-21,27,17
"Boavista FC",810,34,-35,24,18
