"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Spo","Sporting",34,61,82,1,1,34,2.41
"Ben","Benfica",34,56,80,2,2,34,2.35
"Pto","Porto",34,35,71,3,3,34,2.09
"Bra","Sporting Braga",34,25,66,4,4,34,1.94
"Cla","Santa Clara",34,4,57,5,5,34,1.68
"Vit","Vitória",34,10,54,6,6,34,1.59
"Fam","Famalicão",34,5,47,7,7,34,1.38
"Est","Estoril Praia",34,-5,46,8,8,34,1.35
"Cas","Casa Pia",34,-5,45,9,9,34,1.32
"Mor","Moreirense",34,-8,40,10,10,34,1.18
"Rio","Rio Ave",34,-16,38,11,11,34,1.12
"Aro","Arouca",34,-14,38,12,12,34,1.12
"Gil","Gil Vicente",34,-13,34,13,13,34,1
"Nac","Nacional",34,-18,34,14,14,34,1
"Ama","Estrela da Amadora",34,-26,29,15,15,34,0.85
"AVS","AVS",34,-35,27,16,16,34,0.79
"Far","Farense",34,-21,27,17,17,34,0.79
"Boa","Boavista",34,-35,24,18,18,34,0.71
