"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Fey","Feyenoord",34,51,82,1,1,34,2.41
"PSV","PSV Eindhoven",34,49,75,2,2,34,2.21
"Ajx","Ajax",34,48,69,3,3,34,2.03
"AZA","AZ Alkmaar",34,33,67,4,4,34,1.97
"Twe","Twente",34,39,64,5,5,34,1.88
"Spa","Sparta Rotterdam",34,23,59,6,6,34,1.74
"Utr","Utrecht",34,5,54,7,7,34,1.59
"Hee","Heerenveen",34,-6,46,8,8,34,1.35
"RKC","RKC Waalwijk",34,-14,41,9,9,34,1.21
"Vit","Vitesse",34,-5,40,10,10,34,1.18
"GoA","Go Ahead",34,-10,40,11,11,34,1.18
"NEC","NEC",34,-3,39,12,12,34,1.15
"Sit","Fortuna Sittard",34,-23,36,13,13,34,1.06
"Vol","Volendam",34,-29,36,14,14,34,1.06
"Exc","Excelsior",34,-39,32,15,15,34,0.94
"Emm","Emmen",34,-32,28,16,16,34,0.82
"Cam","Cambuur",34,-43,19,17,17,34,0.56
"Gro","Groningen",34,-44,18,18,18,34,0.53
