fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
666,FC Twente '65,Twente,Twe,FC Twente,FC Twente,0
670,SBV Excelsior,Excelsior,Exc,Excelsior,Excelsior,0
673,SC Heerenveen,Heerenveen,Hee,Heerenveen,sc Heerenveen,0
674,PSV,PSV Eindhoven,PSV,PSV Eindhoven,PSV Eindhoven,0
675,Feyenoord Rotterdam,Feyenoord,Fey,Feyenoord,Feyenoord,0
676,FC Utrecht,Utrecht,Utr,FC Utrecht,FC Utrecht,0
677,FC Groningen,Groningen,Gro,Groningen,FC Groningen,0
678,AFC Ajax,Ajax,Ajx,Ajax,Ajax,0
679,SBV Vitesse,Vitesse,Vit,Vitesse Arnhem,Vitesse,0
682,AZ,AZ Alkmaar,AZA,AZ Alkmaar,AZ Alkmaar,0
683,RKC Waalwijk,RKC Waalwijk,RKC,RKC Waalwijk,RKC Waalwijk,0
718,Go Ahead Eagles,Go Ahead,GoA,Go Ahead Eagles,Go Ahead Eagles,0
1909,SC Cambuur-Leeuwarden,Cambuur,Cam,SC Cambuur,SC Cambuur,0
1914,FC Emmen,Emmen,Emm,Emmen,FC Emmen,0
1915,NEC,NEC,NEC,NEC,N.E.C.,0
1919,FC Volendam,Volendam,Vol,Volendam,FC Volendam,0
1920,Fortuna Sittard,Fortuna Sittard,Sit,Fortuna Sittard,Fortuna Sittard,0
6806,Sparta Rotterdam,Sparta Rotterdam,Spa,Sparta,Sparta Rotterdam,0
