"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date","UTCtime","status"
1,"SC Heerenveen",673,"Sparta Rotterdam",6806,0,0,"D","2022-08-05","18:00:00","FINISHED"
1,"Fortuna Sittard",1920,"AFC Ajax",678,2,3,"A","2022-08-06","14:30:00","FINISHED"
1,"SC Cambuur-Leeuwarden",1909,"SBV Excelsior",670,0,2,"A","2022-08-06","16:45:00","FINISHED"
1,"PSV",674,"FC Emmen",1914,4,1,"H","2022-08-06","18:00:00","FINISHED"
1,"RKC Waalwijk",683,"FC Utrecht",676,2,2,"D","2022-08-06","19:00:00","FINISHED"
1,"FC Groningen",677,"FC Volendam",1919,2,2,"D","2022-08-07","10:15:00","FINISHED"
1,"NEC",1915,"FC Twente '65",666,0,1,"A","2022-08-07","12:30:00","FINISHED"
1,"SBV Vitesse",679,"Feyenoord Rotterdam",675,2,5,"A","2022-08-07","12:30:00","FINISHED"
1,"AZ",682,"Go Ahead Eagles",718,2,0,"H","2022-08-07","14:45:00","FINISHED"
2,"SBV Excelsior",670,"SBV Vitesse",679,3,1,"H","2022-08-12","18:00:00","FINISHED"
2,"Go Ahead Eagles",718,"PSV",674,2,5,"A","2022-08-13","16:45:00","FINISHED"
2,"FC Utrecht",676,"SC Cambuur-Leeuwarden",1909,0,0,"D","2022-08-13","18:00:00","FINISHED"
2,"FC Emmen",1914,"RKC Waalwijk",683,1,1,"D","2022-08-13","18:00:00","FINISHED"
2,"Feyenoord Rotterdam",675,"SC Heerenveen",673,0,0,"D","2022-08-13","19:00:00","FINISHED"
2,"FC Volendam",1919,"NEC",1915,1,4,"A","2022-08-14","10:15:00","FINISHED"
2,"FC Twente '65",666,"Fortuna Sittard",1920,3,0,"H","2022-08-14","12:30:00","FINISHED"
2,"AFC Ajax",678,"FC Groningen",677,6,1,"H","2022-08-14","12:30:00","FINISHED"
2,"Sparta Rotterdam",6806,"AZ",682,2,3,"A","2022-08-14","14:45:00","FINISHED"
3,"SBV Vitesse",679,"SC Heerenveen",673,0,4,"A","2022-08-20","14:30:00","FINISHED"
3,"Fortuna Sittard",1920,"SC Cambuur-Leeuwarden",1909,1,4,"A","2022-08-20","16:45:00","FINISHED"
3,"FC Emmen",1914,"FC Utrecht",676,3,2,"H","2022-08-20","19:00:00","FINISHED"
3,"FC Groningen",677,"Go Ahead Eagles",718,1,0,"H","2022-08-21","10:15:00","FINISHED"
3,"Sparta Rotterdam",6806,"AFC Ajax",678,0,1,"A","2022-08-21","12:30:00","FINISHED"
3,"RKC Waalwijk",683,"Feyenoord Rotterdam",675,0,1,"A","2022-08-21","14:45:00","FINISHED"
4,"NEC",1915,"FC Groningen",677,1,1,"D","2022-08-26","18:00:00","FINISHED"
4,"Go Ahead Eagles",718,"Sparta Rotterdam",6806,0,1,"A","2022-08-27","14:30:00","FINISHED"
4,"SBV Vitesse",679,"RKC Waalwijk",683,2,2,"D","2022-08-27","16:45:00","FINISHED"
4,"Feyenoord Rotterdam",675,"FC Emmen",1914,4,0,"H","2022-08-27","18:00:00","FINISHED"
4,"SC Heerenveen",673,"Fortuna Sittard",1920,2,1,"H","2022-08-27","19:00:00","FINISHED"
4,"FC Utrecht",676,"AFC Ajax",678,0,2,"A","2022-08-28","10:20:00","FINISHED"
4,"FC Volendam",1919,"FC Twente '65",666,1,0,"H","2022-08-28","12:30:00","FINISHED"
4,"SBV Excelsior",670,"PSV",674,1,6,"A","2022-08-28","12:30:00","FINISHED"
4,"SC Cambuur-Leeuwarden",1909,"AZ",682,0,1,"A","2022-08-28","14:45:00","FINISHED"
3,"PSV",674,"FC Volendam",1919,7,1,"H","2022-08-31","16:45:00","FINISHED"
3,"FC Twente '65",666,"SBV Excelsior",670,4,0,"H","2022-08-31","19:00:00","FINISHED"
3,"AZ",682,"NEC",1915,1,1,"D","2022-09-01","18:00:00","FINISHED"
5,"Fortuna Sittard",1920,"FC Utrecht",676,3,4,"A","2022-09-02","18:00:00","FINISHED"
5,"AFC Ajax",678,"SC Cambuur-Leeuwarden",1909,4,0,"H","2022-09-03","14:30:00","FINISHED"
5,"FC Twente '65",666,"PSV",674,2,1,"H","2022-09-03","16:45:00","FINISHED"
5,"Sparta Rotterdam",6806,"FC Volendam",1919,4,0,"H","2022-09-03","18:00:00","FINISHED"
5,"Go Ahead Eagles",718,"Feyenoord Rotterdam",675,3,4,"A","2022-09-03","19:00:00","FINISHED"
5,"RKC Waalwijk",683,"SBV Excelsior",670,5,2,"H","2022-09-04","10:15:00","FINISHED"
5,"SC Heerenveen",673,"NEC",1915,0,0,"D","2022-09-04","12:30:00","FINISHED"
5,"FC Emmen",1914,"AZ",682,0,3,"A","2022-09-04","12:30:00","FINISHED"
5,"FC Groningen",677,"SBV Vitesse",679,0,1,"A","2022-09-04","14:45:00","FINISHED"
6,"FC Volendam",1919,"Go Ahead Eagles",718,2,3,"A","2022-09-09","18:00:00","FINISHED"
6,"NEC",1915,"Fortuna Sittard",1920,1,1,"D","2022-09-10","14:30:00","FINISHED"
6,"AFC Ajax",678,"SC Heerenveen",673,5,0,"H","2022-09-10","16:45:00","FINISHED"
6,"SBV Excelsior",670,"FC Emmen",1914,2,1,"H","2022-09-10","19:00:00","FINISHED"
6,"FC Utrecht",676,"SBV Vitesse",679,1,0,"H","2022-09-11","10:15:00","FINISHED"
6,"SC Cambuur-Leeuwarden",1909,"FC Groningen",677,0,1,"A","2022-09-11","12:30:00","FINISHED"
6,"PSV",674,"RKC Waalwijk",683,1,0,"H","2022-09-11","12:30:00","FINISHED"
6,"AZ",682,"FC Twente '65",666,1,1,"D","2022-09-11","14:45:00","FINISHED"
6,"Feyenoord Rotterdam",675,"Sparta Rotterdam",6806,3,0,"H","2022-09-11","18:00:00","FINISHED"
7,"FC Utrecht",676,"NEC",1915,0,0,"D","2022-09-16","18:00:00","FINISHED"
7,"Sparta Rotterdam",6806,"FC Groningen",677,2,1,"H","2022-09-17","14:30:00","FINISHED"
7,"SBV Vitesse",679,"FC Volendam",1919,1,1,"D","2022-09-17","16:45:00","FINISHED"
7,"RKC Waalwijk",683,"SC Cambuur-Leeuwarden",1909,5,1,"H","2022-09-17","18:00:00","FINISHED"
7,"Fortuna Sittard",1920,"SBV Excelsior",670,1,0,"H","2022-09-17","19:00:00","FINISHED"
7,"Go Ahead Eagles",718,"FC Emmen",1914,2,0,"H","2022-09-18","10:15:00","FINISHED"
7,"SC Heerenveen",673,"FC Twente '65",666,2,1,"H","2022-09-18","12:30:00","FINISHED"
7,"PSV",674,"Feyenoord Rotterdam",675,4,3,"H","2022-09-18","12:30:00","FINISHED"
7,"AZ",682,"AFC Ajax",678,2,1,"H","2022-09-18","14:45:00","FINISHED"
8,"SC Cambuur-Leeuwarden",1909,"PSV",674,3,0,"H","2022-10-01","14:30:00","FINISHED"
8,"FC Groningen",677,"AZ",682,1,4,"A","2022-10-01","16:45:00","FINISHED"
8,"AFC Ajax",678,"Go Ahead Eagles",718,1,1,"D","2022-10-01","18:00:00","FINISHED"
8,"FC Twente '65",666,"SBV Vitesse",679,3,0,"H","2022-10-01","19:00:00","FINISHED"
8,"Fortuna Sittard",1920,"FC Volendam",1919,2,0,"H","2022-10-02","10:15:00","FINISHED"
8,"NEC",1915,"Feyenoord Rotterdam",675,1,1,"D","2022-10-02","12:30:00","FINISHED"
8,"SBV Excelsior",670,"FC Utrecht",676,0,1,"A","2022-10-02","12:30:00","FINISHED"
8,"RKC Waalwijk",683,"Sparta Rotterdam",6806,2,2,"D","2022-10-02","14:45:00","FINISHED"
8,"FC Emmen",1914,"SC Heerenveen",673,0,0,"D","2022-10-02","18:00:00","FINISHED"
9,"FC Groningen",677,"RKC Waalwijk",683,2,3,"A","2022-10-07","18:00:00","FINISHED"
9,"FC Volendam",1919,"AFC Ajax",678,2,4,"A","2022-10-08","14:30:00","FINISHED"
9,"Sparta Rotterdam",6806,"FC Emmen",1914,3,1,"H","2022-10-08","16:45:00","FINISHED"
