"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date","UTCtime","status"
1,"Genoa CFC",107,"FC Internazionale Milano",108,2,2,"D","2024-08-17","16:30:00","FINISHED"
1,"Parma Calcio 1913",112,"ACF Fiorentina",99,1,1,"D","2024-08-17","16:30:00","FINISHED"
1,"Empoli FC",445,"AC Monza",5911,0,0,"D","2024-08-17","18:45:00","FINISHED"
1,"AC Milan",98,"Torino FC",586,2,2,"D","2024-08-17","18:45:00","FINISHED"
1,"Bologna FC 1909",103,"Udinese Calcio",115,1,1,"D","2024-08-18","16:30:00","FINISHED"
1,"Hellas Verona FC",450,"SSC Napoli",113,3,0,"H","2024-08-18","16:30:00","FINISHED"
1,"Cagliari Calcio",104,"AS Roma",100,0,0,"D","2024-08-18","18:45:00","FINISHED"
1,"SS Lazio",110,"Venezia FC",454,3,1,"H","2024-08-18","18:45:00","FINISHED"
1,"US Lecce",5890,"Atalanta BC",102,0,4,"A","2024-08-19","16:30:00","FINISHED"
1,"Juventus FC",109,"Como 1907",7397,3,0,"H","2024-08-19","18:45:00","FINISHED"
2,"Parma Calcio 1913",112,"AC Milan",98,2,1,"H","2024-08-24","16:30:00","FINISHED"
2,"Udinese Calcio",115,"SS Lazio",110,2,1,"H","2024-08-24","16:30:00","FINISHED"
2,"FC Internazionale Milano",108,"US Lecce",5890,2,0,"H","2024-08-24","18:45:00","FINISHED"
2,"AC Monza",5911,"Genoa CFC",107,0,1,"A","2024-08-24","18:45:00","FINISHED"
2,"ACF Fiorentina",99,"Venezia FC",454,0,0,"D","2024-08-25","16:30:00","FINISHED"
2,"Torino FC",586,"Atalanta BC",102,2,1,"H","2024-08-25","16:30:00","FINISHED"
2,"SSC Napoli",113,"Bologna FC 1909",103,3,0,"H","2024-08-25","18:45:00","FINISHED"
2,"AS Roma",100,"Empoli FC",445,1,2,"A","2024-08-25","18:45:00","FINISHED"
2,"Cagliari Calcio",104,"Como 1907",7397,1,1,"D","2024-08-26","16:30:00","FINISHED"
2,"Hellas Verona FC",450,"Juventus FC",109,0,3,"A","2024-08-26","18:45:00","FINISHED"
3,"Venezia FC",454,"Torino FC",586,0,1,"A","2024-08-30","16:30:00","FINISHED"
3,"FC Internazionale Milano",108,"Atalanta BC",102,4,0,"H","2024-08-30","18:45:00","FINISHED"
3,"Bologna FC 1909",103,"Empoli FC",445,1,1,"D","2024-08-31","16:30:00","FINISHED"
3,"US Lecce",5890,"Cagliari Calcio",104,1,0,"H","2024-08-31","16:30:00","FINISHED"
3,"SS Lazio",110,"AC Milan",98,2,2,"D","2024-08-31","18:45:00","FINISHED"
3,"SSC Napoli",113,"Parma Calcio 1913",112,2,1,"H","2024-08-31","18:45:00","FINISHED"
3,"ACF Fiorentina",99,"AC Monza",5911,2,2,"D","2024-09-01","16:30:00","FINISHED"
3,"Genoa CFC",107,"Hellas Verona FC",450,0,2,"A","2024-09-01","16:30:00","FINISHED"
3,"Juventus FC",109,"AS Roma",100,0,0,"D","2024-09-01","18:45:00","FINISHED"
3,"Udinese Calcio",115,"Como 1907",7397,1,0,"H","2024-09-01","18:45:00","FINISHED"
4,"Como 1907",7397,"Bologna FC 1909",103,2,2,"D","2024-09-14","13:00:00","FINISHED"
4,"Empoli FC",445,"Juventus FC",109,0,0,"D","2024-09-14","16:00:00","FINISHED"
4,"AC Milan",98,"Venezia FC",454,4,0,"H","2024-09-14","18:45:00","FINISHED"
4,"Genoa CFC",107,"AS Roma",100,1,1,"D","2024-09-15","10:30:00","FINISHED"
4,"Atalanta BC",102,"ACF Fiorentina",99,3,2,"H","2024-09-15","13:00:00","FINISHED"
4,"Torino FC",586,"US Lecce",5890,0,0,"D","2024-09-15","13:00:00","FINISHED"
4,"Cagliari Calcio",104,"SSC Napoli",113,0,4,"A","2024-09-15","16:00:00","FINISHED"
