"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Nap","Napoli",38,32,82,1,1,38,2.16
"Int","Inter",38,44,81,2,2,38,2.13
"Ata","Atalanta",38,41,74,3,3,38,1.95
"Juv","Juventus",38,23,70,4,4,38,1.84
"Rom","Roma",38,21,69,5,5,38,1.82
"Fir","Fiorentina",38,19,65,6,6,38,1.71
"Laz","Lazio",38,12,65,7,7,38,1.71
"Mil","Milan",38,18,63,8,8,38,1.66
"Bol","Bologna",38,10,62,9,9,38,1.63
"Com","Como",38,-3,49,10,10,38,1.29
"Tor","Torino",38,-6,44,11,11,38,1.16
"Udi","Udinese",38,-15,44,12,12,38,1.16
"Gen","Genoa",38,-12,43,13,13,38,1.13
"Ver","Verona",38,-32,37,14,14,38,0.97
"Cag","Cagliari",38,-16,36,15,15,38,0.95
"Par","Parma",38,-14,36,16,16,38,0.95
"Lec","Lecce",38,-31,34,17,17,38,0.89
"Emp","Empoli",38,-26,31,18,18,38,0.82
"Ven","Venezia",38,-24,29,19,19,38,0.76
"Mon","Monza",38,-41,18,20,20,38,0.47
